season,player_id,player_name,pos,points,war,points_total_pctl,war_total_pctl,points_pos_pctl,war_pos_pctl,points_season_pctl,war_season_pctl,gsis_id,display_name,rank,war_pct,colHeight,pos_f
2022,13699,"Evans, Rashaan",LB,227,3.04,0.9823275051701448,0.9994359842075579,0.9948559670781894,1,0.9780645161290322,1,00-0034743,Rashaan Evans,1,1,1,LB
2022,13319,"Jones, Aaron",RB,202.5,2.7,0.9661590524534687,0.9988719684151156,0.9549436795994993,0.9937421777221527,0.9587096774193549,0.9987096774193548,00-0033293,Aaron Jones,1,1,1,RB
2022,13404,"Ekeler, Austin",RB,270.3,2.56,0.9960518894529047,0.9983079526226735,0.9924906132665833,0.9912390488110138,0.9935483870967742,0.9974193548387097,00-0033699,Austin Ekeler,2,0.9481481481481481,0.9481481481481481,RB
2022,14073,"Jacobs, Josh",RB,264.4,2.48,0.9941718368114307,0.9979319420943786,0.9887359198998749,0.9887359198998749,0.9896774193548387,0.9961290322580645,00-0035700,Josh Jacobs,3,0.9185185185185184,0.9185185185185184,RB
2022,14218,"Okereke, Bobby",LB,191,2.06,0.9533746944914457,0.9960518894529047,0.9578189300411523,0.9979423868312757,0.9406451612903226,0.9935483870967742,00-0035687,Bobby Okereke,2,0.6776315789473685,0.6776315789473685,LB
2022,11244,"Kelce, Travis",TE,247.3,1.96,0.9885316788870089,0.9947358526038729,1,1,0.9858064516129033,0.9909677419354839,00-0030506,Travis Kelce,1,1,1,TE
2022,12186,"Diggs, Stefon",WR,271.2,1.96,0.9962398947170521,0.9947358526038729,0.9990494296577946,0.9980988593155894,0.9948387096774194,0.9909677419354839,00-0031588,Stefon Diggs,1,1,1,WR
2022,11675,"Adams, Davante",WR,268.5,1.92,0.9956758789246098,0.9939838315472833,0.9980988593155894,0.9961977186311787,0.9922580645161291,0.9883870967741936,00-0031381,Davante Adams,2,0.9795918367346939,0.9795918367346939,WR
2022,14892,"Brooks, Jordyn",LB,237,1.92,0.9853355893965031,0.9939838315472833,0.9989711934156379,0.9948559670781894,0.9819354838709677,0.9883870967741936,00-0036409,Jordyn Brooks,3,0.631578947368421,0.631578947368421,LB
2022,12801,"Hill, Tyreek",WR,266.7,1.88,0.9954878736604625,0.9934198157548412,0.997148288973384,0.9952471482889734,0.9909677419354839,0.9858064516129033,00-0033040,Tyreek Hill,3,0.9591836734693877,0.9591836734693877,WR
2022,13116,"Mahomes, Patrick",QB,308.62,1.48,0.9988719684151156,0.9847715736040609,0.9880597014925373,0.9940298507462687,0.9974193548387097,0.967741935483871,00-0033873,Patrick Mahomes,1,1,1,QB
2022,13589,"Allen, Josh",QB,309.34,1.48,0.999059973679263,0.9847715736040609,0.991044776119403,0.9940298507462687,0.9987096774193548,0.967741935483871,00-0034857,Josh Allen,2,1,1,QB
2022,14783,"Hurts, Jalen",QB,309.5,1.48,0.9992479789434104,0.9847715736040609,0.9940298507462687,0.9940298507462687,1,0.967741935483871,00-0036389,Jalen Hurts,3,1,1,QB
2022,14225,"Crosby, Maxx",DL,178,0.88,0.9336341417559691,0.954878736604625,1,0.9956647398843931,0.9225806451612903,0.9354838709677419,00-0034973,Maxx Crosby,1,1,1,DL
2022,13714,"James, Derwin",DB,201,0.84,0.9644670050761421,0.951118631321677,0.9987951807228915,0.9951807228915662,0.9535483870967741,0.9329032258064516,00-0034790,Derwin James,1,1,1,DB
2022,14983,"Bass, Tyler",PK,128.55,0.58,0.8131227674374882,0.9135175784921978,0.9895833333333334,0.96875,0.7935483870967742,0.896774193548387,00-0036162,Tyler Bass,1,1,1,PK
2022,13671,"Andrews, Mark",TE,154.2,0.56,0.8890768941530363,0.9101334837375447,0.9659090909090909,0.9590909090909091,0.8735483870967742,0.8929032258064517,00-0034753,Mark Andrews,2,0.28571428571428575,0.28571428571428575,TE
2022,13403,"Koo, Younghoe",PK,114.75,0.5,0.7523970671178793,0.8999811994735852,0.9322916666666666,0.953125,0.7264516129032258,0.8851612903225806,00-0033702,Younghoe Koo,2,0.8620689655172414,0.8620689655172414,PK
2022,14138,"Hockenson, T.J.",TE,144,0.48,0.8597480729460425,0.8967851099830795,0.9477272727272728,0.9477272727272728,0.8412903225806452,0.8812903225806452,00-0035229,T.J. Hockenson,3,0.24489795918367346,0.24489795918367346,TE
2022,14179,"Love, Julian",DB,175,0.46,0.9291220154164317,0.8937770257567211,0.9891566265060241,0.9686746987951808,0.9161290322580645,0.8787096774193548,00-0034974,Julian Love,2,0.5476190476190477,0.5476190476190477,DB
2022,10783,"Smith, Harrison",DB,174,0.44,0.9270539575108103,0.8887008836247415,0.9867469879518073,0.9662650602409638,0.9135483870967742,0.8709677419354839,00-0029606,Harrison Smith,3,0.5238095238095238,0.5238095238095238,DB
2022,10976,"Tucker, Justin",PK,118.25,0.44,0.7687535250987028,0.8887008836247415,0.9583333333333334,0.9375,0.7445161290322581,0.8709677419354839,00-0029597,Justin Tucker,3,0.7586206896551725,0.7586206896551725,PK
2022,13208,"Allen, Jonathan",DL,138,0.3,0.8450836623425456,0.8458356833991352,0.9841040462427746,0.9320809248554913,0.832258064516129,0.8361290322580646,00-0033523,Jonathan Allen,2,0.3409090909090909,0.3409090909090909,DL
2022,12795,"Judon, Matt",DL,136,0.28,0.8373754465125024,0.8366234254559127,0.9812138728323699,0.9277456647398844,0.8167741935483871,0.824516129032258,00-0032415,Matt Judon,3,0.31818181818181823,0.31818181818181823,DL
