"player_id","player_name","pos","points","war","war_per_points"
"10143","Mclendon, Steve","DT",11,-0.128522041057035,-0.0116838219142759
"10261","Green, A.J.","WR",108.2,0.168990299739638,0.00156183271478408
"10262","Gabbert, Blaine","QB",2.08,-0.231556247159929,-0.111325118826889
"10266","Heyward, Cameron","DE",147,0.555945725629849,0.00378194371176768
"10267","Miller, Von","LB",64,-0.0384650434265827,-0.000601016303540355
"10269","Quinn, Robert","LB",125,0.230363009400205,0.00184290407520164
"10271","Jones, Julio","WR",54.6,0.0459501209332194,0.000841577306469219
"10272","Watt, J.J.","DE",37,-0.0136514703060699,-0.000368958656920809
"10273","Newton, Cam","QB",46.06,0.00618197053882863,0.000134215600061412
"10276","Ingram, Mark","RB",104.1,0.184617706476646,0.00177346499977566
"10277","Houston, Justin","LB",57,-0.118376125000358,-0.0020767741228133
"10280","Kerrigan, Ryan","DE",6,-0.928052510386336,-0.154675418397723
"10292","Jordan, Cameron","DE",87,0.124372016982907,0.00142956341359663
"10308","Cobb, Randall","WR",94.6,0.0900255005061448,0.000951643768563898
"10312","Rudolph, Kyle","TE",43.5,-0.100917510803425,-0.00231994277709024
"10313","Dalton, Andy","QB",65.18,-0.0851310660793754,-0.0013060918392049
"10320","Sheard, Jabaal","DE",1,-0.064398124770392,-0.064398124770392
"10350","Wright, K.J.","LB",47,-0.280419432193503,-0.00596637089773411
"10354","Stocker, Luke","TE",3.2,-0.126723629184883,-0.0396011341202759
"10368","Jones, Taiwan","RB",1.42,-0.520271347723034,-0.36638827304439
"10398","Smith, Lee","TE",19.3,-0.222380957515052,-0.011522329404925
"10402","McPhee, Pernell","LB",29,-0.134081850875293,-0.00462351209914804
"10413","Taylor, Tyrod","QB",86.74,-0.00924393318403105,-0.000106570592391412
"10457","Guy, Lawrence","DE",80,0.0547232585153115,0.000684040731441393
"10465","Smith, Malcolm","LB",84,0.0257622773266126,0.000306693777697769
"10514","Bellore, Nick","RB",0,-0.529368664895143,-Inf
"10554","Addison, Mario","DE",51,-0.136685302493287,-0.00268010397045661
"10653","Bynes, Josh","LB",80,0.0557710205166062,0.000697137756457578
"10697","Tannehill, Ryan","QB",202.56,0.159399130674354,0.000786923038479234
"10700","Cousins, Kirk","QB",242.62,0.449262460596249,0.00185171239220282
"10703","Wilson, Russell","QB",152.98,0.0697216263302849,0.000455756480129984
"10723","Sanu, Mohamed","WR",33.9,-0.0739817127944242,-0.00218235140986502
"10729","Hilton, T.Y.","WR",38.7,-0.00916369091556923,-0.000236787878955277
"10737","Benjamin, Travis","WR",0.82,-0.121649689481441,-0.148353279855416
"10738","Jones, Marvin","WR",120,0.264453550582965,0.00220377958819138
"10749","Ingram, Melvin","LB",31,-0.172639923199593,-0.00556902978063202
"10753","Jones, Chandler","LB",96,0.0978112466886447,0.00101886715300672
"10754","Mercilus, Whitney","DE",42,-0.0705559902749329,-0.00167990453035554
"10755","Curry, Vinny","DE",0,-0.0774270320825625,-Inf
"10762","Cox, Fletcher","DT",59,-0.224570381065646,-0.00380627764518043
"10763","Brockers, Michael","DT",62,-0.0581165913582451,-0.000937364376745889
"10766","Irvin, Bruce","DE",2,-0.0512607298535732,-0.0256303649267866
"10768","David, Lavonte","LB",140,0.284959713293569,0.00203542652352549
"10774","Hightower, Dont'a","LB",89,0.00688038088219489,7.73076503617404e-05
"10775","Wagner, Bobby","LB",233,1.02642379478817,0.00440525233814666
"10816","Davis, Demario","LB",154,0.47263814619211,0.00306907887137734
"10823","Hicks, Akiem","DE",37,-0.0136427679518647,-0.000368723458158505
"10846","Jackson, Malik","DT",39,-0.22427974516447,-0.00575076269652487
"10847","Whitehead, Tahir","LB",0,-0.0981697223408595,-Inf
"10862","Bullock, Randy","PK",91.6,0.104169428312924,0.00113722083311052
"10868","Zuerlein, Greg","PK",100.35,0.149841974945478,0.00149319357195295
"10879","Trevathan, Danny","LB",27,-0.0358037832463127,-0.00132606604615973
"10932","Bolden, Brandon","RB",89.06,0.0626939005259182,0.000703951274712757
"10940","Carrier, Derek","TE",3.3,-0.0825543905993253,-0.0250164819997956
"10948","Keenum, Case","QB",16.14,-0.210432437103588,-0.0130379452976201
"10960","Gordon, Josh","WR",3.8,-0.174423727383558,-0.04590098089041
"10973","Beasley, Cole","WR",123.1,0.290188585250388,0.00235734025386181
"10976","Tucker, Justin","PK",121.8,0.312767358306797,0.00256787650498191
"10983","Hogan, Chris","WR",14.1,-0.0745759917458395,-0.00528907742878294
"11000","Stanford, Julian","LB",7,-0.544299808865781,-0.0777571155522544
"11150","Smith, Geno","QB",56.28,-0.0675163049985787,-0.00119965005327965
"11152","Glennon, Mike","QB",16.52,-0.0949650383096881,-0.0057484890017971
"11182","Burkhead, Rex","RB",35.6,-0.177971353917213,-0.00499919533475318
"11192","Bell, Le'Veon","RB",21.2,-0.041209283094445,-0.00194383410822854
"11193","Bernard, Giovani","RB",61.04,-0.0503187431384848,-0.000824356866620001
"11213","Austin, Tavon","WR",27.5,-0.125476945354976,-0.00456279801290823
"11222","Allen, Keenan","WR",204.9,0.872971093678267,0.00426047385884952
"11225","Patterson, Cordarrelle","WR",208.66,0.683224713695598,0.00327434445363557
"11227","Stills, Kenny","WR",17.5,-0.209439284387044,-0.0119679591078311
"11228","Woods, Robert","WR",137.2,0.284822574251711,0.00207596628463346
"11232","Hopkins, DeAndre","WR",136.8,0.284011516467002,0.00207610757651317
"11239","Goodwin, Marquise","WR",49.6,-0.128541755242918,-0.00259156764602658
"11244","Kelce, Travis","TE",190.2,0.874199692986755,0.00459621289688094
"11247","Ertz, Zach","TE",118.2,0.353969081979687,0.00299466228409211
"11262","Okafor, Alex","DE",26,-0.318123293618002,-0.0122355112930001
"11265","Gholston, William","DE",45,-0.179936971313824,-0.00399859936252942
"11273","Simon, John","DE",10,-0.0122865033135655,-0.00122865033135655
"11274","Hunt, Margus","DE",8,-0.0814245774226867,-0.0101780721778358
"11280","Lotulelei, Star","DT",31,-0.0563299859440551,-0.00181709632077597
"11281","Hankins, Johnathan","DT",42,-0.116627059443256,-0.00277683474864895
"11283","Richardson, Sheldon","DT",49,-0.150884687468785,-0.00307927933609764
"11286","Jenkins, John","DT",26,-0.0322381609783875,-0.00123992926839952
