player_id,player_name,vbd_true_avg,true_position,pick_value_raw
12616,"Brissett, Jacoby",-9.177333333,QB,-6.5081
13879,"Allen, Kyle",-6.745666667,QB,-6.5081
13264,"Jones, Josh",-6.953333333,DB,-6.5081
14931,"Ojemudia, Michael",-6.987,DB,-6.5081
13595,"Rudolph, Mason",-8.839,QB,-6.5081
9188,"Carr, Brandon",-7.372,DB,-6.5081
10948,"Keenum, Case",-12.367,QB,-6.5081
11337,"Fells, Darren",-6.647,TE,-6.5081
12913,"Erickson, Alex",-7.443666667,WR,-6.5081
13424,"Hill, Taysom",-8.206333333,QB,-6.5081
12854,"Walker, Joe",-6.741666667,LB,-6.5081
12998,"Adams, Andrew",-7.562,DB,-6.5081
11498,"Addae, Jahleel",-7.351333333,DB,-6.5081
14967,"Vildor, Kindle",-7.768,DB,-6.5081
8673,"Ginn Jr., Ted",-7.926,WR,-6.5081
14058,"Haskins, Dwayne",-7.441,QB,-6.5081
13722,"Jarwin, Blake",-6.883333333,TE,-6.5081
15078,"Claybrooks, Chris",-6.7255,DB,-6.5081
11925,"Hurns, Allen",-7.6225,WR,-6.5081
14117,"Johnson, Tyron",-6.9995,WR,-6.5081
11532,"Banjo, Chris",-8.645666667,DB,-6.5081
12657,"Sharpe, Tajae",-7.964333333,WR,-6.5081
14293,"Moreland, Jimmy",-7.208333333,DB,-6.5081
14401,"Eguavoen, Sam",-6.947333333,LB,-6.5081
7813,"Smith, Alex",-8.58,QB,-6.5081
14305,"Johnson, Olabisi",-7.722,WR,-6.5081
12660,"Cooper, Pharoh",-7.497333333,WR,-6.5081
12665,"Allison, Geronimo",-8.2565,WR,-6.5081
11613,"Thomas, Michael",-8.254666667,DB,-6.5081
14142,"Smith, Kaden",-7.181333333,TE,-6.5081
12328,"Boyle, Nick",-7.848333333,TE,-6.5081
10960,"Gordon, Josh",-6.603,WR,-6.5081
12719,"Thompson, Darian",-7.297,DB,-6.5081
13754,"Yiadom, Isaac",-7.306333333,DB,-6.5081
13915,"Calitro, Austin",-7.372333333,LB,-6.5081
14945,"Pride, Troy",-8.8575,DB,-6.5081
14239,"Moreau, Foster",-6.781,TE,-6.5081
14612,"Laird, Patrick",-7.291666667,RB,-6.5081
14114,"Harmon, Kelvin",-6.91,WR,-6.5081
13348,"Moore, David",-6.544333333,WR,-6.5081
13939,"Odum, George",-7.574666667,DB,-6.5081
11529,"Hill, Josh",-6.756,TE,-6.5081
13783,"Harris, Davontae",-8.304666667,DB,-6.5081
14875,"Bryant, Harrison",-7.8905,TE,-6.5081
13649,"Hamilton, DaeSean",-7.3255,WR,-6.5081
13407,"Borders, Breon",-6.692666667,DB,-6.5081
14867,"Kmet, Cole",-6.549,TE,-6.5081
12623,"Driskel, Jeff",-6.822,QB,-6.5081
14230,"Redwine, Sheldrick",-7.836666667,DB,-6.5081
14070,"Blough, David",-12.07566667,QB,-6.5081
12803,"Christian, Marqui",-9.491333333,DB,-6.5081
14618,"Hodges, Devlin",-9.503,QB,-6.5081
12471,"Roberts, Seth",-8.909,WR,-6.5081
13017,"Riley, Curtis",-8.164,DB,-6.5081
13382,"Seals-Jones, Ricky",-7.676333333,TE,-6.5081
13338,"Wilson, Brandon",-8.042333333,DB,-6.5081
14853,"Johnson, Collin",-7.752,WR,-6.5081
13884,"Smith, Vyncint",-9.280666667,WR,-6.5081
15396,"Deablo, Divine",-6.875,DB,-6.5081
12699,"Billings, Andrew",-6.542,DL,-6.5081
15125,"Jackson, Lamar",-9.2005,DB,-6.5081
10734,"Wright, Jarius",-7.538,WR,-6.5081
13664,"Quinn, Trey",-8.7815,WR,-6.5081
14263,"Ballentine, Corey",-8.545333333,DB,-6.5081
14086,"Hill, Justice",-7.5505,RB,-6.5081
13194,"Sprinkle, Jeremy",-9.587,TE,-6.5081
11355,"Wreh-Wilson, Blidi",-8.903666667,DB,-6.5081
15330,"Jordan, Brevin",-6.707,TE,-6.5081
13125,"Beathard, C.J.",-12.4215,QB,-6.5081
13305,"Hairston, Nate",-8.245333333,DB,-6.5081
15452,"Hufanga, Talanoa",-6.571,DB,-6.5081
14860,"Jennings, Jauan",-6.541,WR,-6.5081
13789,"Wilkins, Jordan",-6.866333333,RB,-6.5081
14243,"Tell, Marvell",-8.2355,DB,-6.5081
15418,"Bynum, Camryn",-6.643,DB,-6.5081
15430,"Sterns, Caden",-6.643,DB,-6.5081
11310,"Minter, Kevin",-6.549333333,LB,-6.5081
12800,"Davis, Trevor",-7.32,WR,-6.5081
14411,"Campbell, Tevaughn",-6.5025,DB,-6.5081
11213,"Austin, Tavon",-7.793,WR,-6.5081
12327,"Smith, Tye",-7.859,DB,-6.5081
14125,"Boykin, Miles",-8.342666667,WR,-6.5081
15332,"Tremble, Tommy",-10.307,TE,-6.5081
13910,"Powell, Brandon",-7.58,WR,-6.5081
13785,"Neal, Siran",-9.061333333,DB,-6.5081
13868,"Boone, Mike",-7.840333333,RB,-6.5081
14906,"Arnette, Damon",-7.615,DB,-6.5081
15079,"Bassey, Essang",-8.8095,DB,-6.5081
15406,"Hall, Darren",-6.654,DB,-6.5081
11448,"Harris, Demetrius",-9.333,TE,-6.5081
15344,"Bates, John",-10.595,TE,-6.5081
11456,"Brown, Jaron",-7.594,WR,-6.5081
12755,"Redmond, Will",-8.585666667,DB,-6.5081
15077,"Wright, Isaiah",-7.998,WR,-6.5081
13176,"Jones, Zay",-7.012333333,WR,-6.5081
11012,"Robertson, Craig",-7.3085,LB,-6.5081
15454,"Williams, Avery",-7.129,DB,-6.5081
