"season","week","franchise_id","starter_status","player_id","player_name","pos","team","player_score","should_start"
2019,1,"0001","starter","13593","Jackson, Lamar","QB","BAL","33.56","1"
2019,1,"0001","starter","13612","Johnson, Kerryon","RB","DET","8.20","0"
2019,1,"0001","starter","13614","Lindsay, Phillip","RB","DEN","10.60","1"
2019,1,"0001","starter","13130","McCaffrey, Christian","RB","CAR","42.90","1"
2019,1,"0001","starter","13131","Mixon, Joe","RB","CIN","3.70","0"
2019,1,"0001","starter","11674","Cooks, Brandin","WR","LAR","5.90","0"
2019,1,"0001","starter","10729","Hilton, T.Y.","WR","IND","28.70","1"
2019,1,"0001","starter","13192","Njoku, David","TE","CLE","13.70","1"
2019,1,"0001","starter","13354","Butker, Harrison","PK","KCC","17.40","1"
2019,1,"0001","starter","12688","Buckner, DeForest","DT","SFO","4.00","0"
2019,1,"0001","starter","10272","Watt, J.J.","DE","HOU","0.00","0"
2019,1,"0001","starter","11308","Alonso, Kiko","LB","NOS","0.00","0"
2019,1,"0001","starter","10768","David, Lavonte","LB","TBB","13.00","1"
2019,1,"0001","starter","10773","Kuechly, Luke","LB","FA","14.00","1"
2019,1,"0001","starter","12701","Smith, Jaylon","LB","DAL","10.00","1"
2019,1,"0001","starter","12762","Vigil, Nick","LB","CIN","9.00","0"
2019,1,"0001","starter","12250","Collins, Landon","S","WAS","13.00","1"
2019,1,"0001","starter","12736","Neal, Keanu","S","ATL","2.00","0"
2019,1,"0001","nonstarter","9064","Flacco, Joe","QB","DEN","14.82","0"
2019,1,"0001","nonstarter","12141","Mariota, Marcus","QB","TEN","24.32","0"
2019,1,"0001","nonstarter","12152","Coleman, Tevin","RB","SFO","7.60","0"
2019,1,"0001","nonstarter","11657","Hyde, Carlos","RB","HOU","9.50","0"
2019,1,"0001","nonstarter","12153","Yeldon, T.J.","RB","BUF","0.00","0"
2019,1,"0001","nonstarter","11975","Gabriel, Taylor","WR","CHI","4.40","0"
2019,1,"0001","nonstarter","10960","Gordon, Josh","WR","SEA","16.30","1"
2019,1,"0001","nonstarter","11225","Patterson, Cordarrelle","WR","CHI","1.10","0"
2019,1,"0001","nonstarter","10823","Hicks, Akiem","DE","CHI","8.00","1"
2019,1,"0001","nonstarter","11767","Bucannon, Deone","LB","NYG","0.00","0"
2019,1,"0001","nonstarter","13221","Davis, Jarrad","LB","DET",NA,"0"
2019,1,"0001","nonstarter","13215","Foster, Reuben","LB","WAS",NA,"0"
2019,1,"0001","nonstarter","11723","Van Noy, Kyle","LB","NEP",NA,"0"
2019,1,"0001","nonstarter","7422","Watson, Ben","TE","FA",NA,"0"
2019,1,"0001","nonstarter","13353","Lee, Elijah","LB","SFO",NA,"0"
2019,1,"0001","nonstarter","12349","Diggs, Quandre","S","SEA","10.00","1"
2019,1,"0001","nonstarter","12269","Randall, Damarious","S","CLE","10.00","1"
2019,1,"0001","nonstarter","13165","Switzer, Ryan","WR","PIT","10.19","1"
2019,1,"0001","nonstarter","13296","Wise, Deatrich","DE","NEP","9.00","1"
2019,1,"0001","nonstarter","13717","Reid, Justin","S","HOU","16.00","1"
2019,1,"0001","nonstarter","13813","Oluokun, Foyesade","LB","ATL","7.00","0"
2019,1,"0001","nonstarter","13236","Everett, Gerald","TE","LAR","1.70","0"
2019,1,"0001","nonstarter","13121","Kelly, Chad","QB","IND",NA,"0"
2019,1,"0001","nonstarter","10738","Jones, Marvin","WR","DET","10.00","0"
2019,1,"0001","nonstarter","13620","Jackson, Justin","RB","LAC","7.10","0"
2019,1,"0001","nonstarter","8673","Ginn Jr., Ted","WR","NOS","17.10","1"
2019,1,"0001","nonstarter","10261","Green, A.J.","WR","CIN",NA,"0"
2019,1,"0001","nonstarter","13642","Tate, Auden","WR","CIN",NA,"0"
2019,1,"0002","starter","10703","Wilson, Russell","QB","SEA","16.60","0"
2019,1,"0002","starter","13364","Carson, Chris","RB","SEA","25.00","1"
2019,1,"0002","starter","13612","Johnson, Kerryon","RB","DET","8.20","1"
2019,1,"0002","starter","13646","Gallup, Michael","WR","DAL","22.80","1"
2019,1,"0002","starter","12187","Lockett, Tyler","WR","SEA","11.40","1"
2019,1,"0002","starter","12676","Henry, Hunter","TE","LAC","10.00","0"
2019,1,"0002","starter","13188","Howard, O.J.","TE","TBB","6.20","0"
2019,1,"0002","starter","8687","Olsen, Greg","TE","CAR","7.60","0"
2019,1,"0002","starter","10976","Tucker, Justin","PK","BAL","11.40","0"
2019,1,"0002","starter","9853","Hughes, Jerry","DE","BUF","14.00","1"
2019,1,"0002","starter","12756","Ngakoue, Yannick","DE","JAC","6.00","1"
2019,1,"0002","starter","11308","Alonso, Kiko","LB","NOS","0.00","0"
2019,1,"0002","starter","11299","Bostic, Jon","LB","WAS","2.00","0"
2019,1,"0002","starter","14401","Eguavoen, Sam","LB","MIA","9.00","1"
2019,1,"0002","starter","10879","Trevathan, Danny","LB","CHI","9.00","1"
2019,1,"0002","starter","13765","Young, Kenny","LB","LAR","4.00","0"
2019,1,"0002","starter","11740","Clinton-Dix, Ha Ha","S","CHI","10.00","1"
2019,1,"0002","starter","12088","Phillips, Adrian","S","LAC","9.00","1"
2019,1,"0002","nonstarter","9427","Crabtree, Michael","WR","FA",NA,"0"
2019,1,"0002","nonstarter","10723","Sanu, Mohamed","WR","NEP","10.70","1"
2019,1,"0002","nonstarter","8247","Davis, Vernon","TE","WAS","15.90","1"
2019,1,"0002","nonstarter","12680","Vannett, Nick","TE","PIT","3.60","0"
2019,1,"0002","nonstarter","9815","Suh, Ndamukong","DT","TBB","6.00","1"
