season,week,franchise_id,starter_status,player_id,player_name,pos,team,player_score,should_start
2021,1,0005,starter,13593,"Jackson, Lamar",QB,BAL,20.00,0
2021,1,0005,starter,14852,"Gibson, Antonio",RB,WAS,12.80,1
2021,1,0005,starter,13130,"McCaffrey, Christian",RB,CAR,27.70,1
2021,1,0005,starter,12175,"Cooper, Amari",WR,DAL,38.90,1
2021,1,0005,starter,15288,"Moore, Elijah",WR,NYJ,0.70,0
2021,1,0005,starter,11678,"Robinson, Allen",WR,CHI,9.50,1
2021,1,0005,starter,9918,"Sanders, Emmanuel",WR,BUF,9.20,0
2021,1,0005,starter,13672,"Gesicki, Mike",TE,MIA,0.00,0
2021,1,0005,starter,13354,"Butker, Harrison",PK,KCC,10.10,1
2021,1,0005,starter,12221,"Hunter, Danielle",DE,MIN,13.00,1
2021,1,0005,starter,14877,"Young, Chase",DE,WAS,6.00,0
2021,1,0005,starter,13216,"Cunningham, Zach",LB,TEN,12.00,1
2021,1,0005,starter,12241,"Johnson, Alexander",LB,DEN,6.00,0
2021,1,0005,starter,13307,"Milano, Matt",LB,BUF,11.00,1
2021,1,0005,starter,11728,"Mosley, C.J.",LB,NYJ,6.00,0
2021,1,0005,starter,12736,"Neal, Keanu",LB,DAL,7.00,1
2021,1,0005,starter,13322,"Clark, Chuck",S,BAL,10.00,1
2021,1,0005,starter,13231,"Peppers, Jabrill",S,NYG,6.10,1
2021,1,0005,nonstarter,10703,"Wilson, Russell",QB,SEA,27.06,1
2021,1,0005,nonstarter,11769,"Lawrence, Demarcus",DE,DAL,12.00,1
2021,1,0005,nonstarter,13715,"Harrison, Ronnie",S,CLE,3.00,0
2021,1,0005,nonstarter,13633,"Kirk, Christian",WR,ARI,24.00,1
2021,1,0005,nonstarter,14225,"Crosby, Maxx",DE,LVR,18.00,1
2021,1,0005,nonstarter,14926,"Gay, Willie",LB,KCC,NA,0
2021,1,0005,nonstarter,13246,"Alie-Cox, Mo",TE,IND,0.00,0
2021,1,0005,nonstarter,13760,"Whitehead, Jordan",S,TBB,NA,0
2021,1,0005,nonstarter,13192,"Njoku, David",TE,CLE,10.60,1
2021,1,0005,nonstarter,12785,"Robinson, Demarcus",WR,KCC,1.90,0
2021,1,0005,nonstarter,14412,"Singleton, Alex",LB,PHI,9.00,1
2021,1,0005,nonstarter,14126,"Williams, Preston",WR,MIA,NA,0
2021,1,0005,nonstarter,13787,"Carter, Jermaine",LB,CAR,5.00,0
2021,1,0005,nonstarter,14112,"Campbell, Parris",WR,IND,3.40,0
2021,1,0005,nonstarter,13158,"Westbrook, Dede",WR,MIN,2.70,0
2021,1,0005,nonstarter,13188,"Howard, O.J.",TE,TBB,0.00,0
2021,1,0005,nonstarter,14268,"Long, David",LB,TEN,NA,0
2021,1,0005,nonstarter,13133,"Perine, Samaje",RB,CIN,3.90,0
2021,1,0005,nonstarter,15281,"Chase, Ja'Marr",WR,CIN,20.90,1
2021,1,0005,nonstarter,15351,"Owusu-Koramoah, Jeremiah",LB,CLE,3.00,0
2021,1,0005,nonstarter,15238,"Fields, Justin",QB,CHI,6.70,0
2021,1,0005,nonstarter,15287,"St. Brown, Amon-Ra",WR,DET,4.30,0
2021,1,0005,nonstarter,15410,"Cox, Jabril",LB,DAL,0.00,0
2021,1,0005,nonstarter,15364,"Cisco, Andre",S,JAC,2.00,0
2021,1,0005,nonstarter,15270,"Felton, Demetric",RB,CLE,0.59,0
2021,1,0005,nonstarter,15428,"Sherwood, Jamien",LB,NYJ,1.00,0
2021,1,0005,nonstarter,14827,"Taylor, J.J.",RB,NEP,NA,0
2021,1,0005,nonstarter,14811,"Ahmed, Salvon",RB,MIA,4.80,0
2021,1,0018,starter,13590,"Mayfield, Baker",QB,CLE,13.64,0
2021,1,0018,starter,13726,"Edmonds, Chase",RB,ARI,14.60,1
2021,1,0018,starter,14798,"Moss, Zack",RB,BUF,NA,0
2021,1,0018,starter,13632,"Lazard, Allen",WR,GBP,3.60,0
2021,1,0018,starter,14122,"Slayton, Darius",WR,NYG,9.50,1
2021,1,0018,starter,12677,"Hooper, Austin",TE,CLE,5.70,0
2021,1,0018,starter,13193,"Smith, Jonnu",TE,NEP,9.80,1
2021,1,0018,starter,14870,"Trautman, Adam",TE,NOS,4.80,0
2021,1,0018,starter,14983,"Bass, Tyler",PK,BUF,11.40,1
2021,1,0018,starter,12688,"Buckner, DeForest",DT,IND,15.00,1
2021,1,0018,starter,14171,"Burns, Brian",DE,CAR,9.00,0
2021,1,0018,starter,14247,"Greenlaw, Dre",LB,SFO,22.00,1
2021,1,0018,starter,11772,"Kirksey, Christian",LB,HOU,19.00,1
2021,1,0018,starter,14218,"Okereke, Bobby",LB,IND,12.00,1
2021,1,0018,starter,14672,"Reeder, Troy",LB,LAR,9.00,0
2021,1,0018,starter,13762,"White, Kyzir",LB,LAC,14.00,1
2021,1,0018,starter,12250,"Collins, Landon",S,WAS,3.00,1
2021,1,0018,starter,14991,"Fuller, Jordan",S,LAR,17.00,1
2021,1,0018,nonstarter,11640,"Bridgewater, Teddy",QB,DEN,20.46,1
2021,1,0018,nonstarter,13679,"Herndon, Chris",TE,MIN,0.00,0
2021,1,0018,nonstarter,12233,"Alexander, Kwon",LB,NOS,4.00,0
2021,1,0018,nonstarter,14225,"Crosby, Maxx",DE,LVR,18.00,1
2021,1,0018,nonstarter,14280,"Miller, Scott",WR,TBB,0.00,0
2021,1,0018,nonstarter,14810,"Vaughn, Ke'Shawn",RB,TBB,NA,0
2021,1,0018,nonstarter,13772,"Schultz, Dalton",TE,DAL,10.50,1
2021,1,0018,nonstarter,13850,"Edwards, Gus",RB,BAL,NA,0
2021,1,0018,nonstarter,14086,"Hill, Justice",RB,BAL,NA,0
2021,1,0018,nonstarter,13779,"Kiser, Micah",LB,DEN,NA,0
2021,1,0018,nonstarter,13234,"Mack, Marlon",RB,IND,NA,0
2021,1,0018,nonstarter,12222,"Flowers, Trey",DE,DET,11.00,1
2021,1,0018,nonstarter,14239,"Moreau, Foster",TE,LVR,0.00,0
2021,1,0018,nonstarter,15283,"Moore, Rondale",WR,ARI,12.66,1
2021,1,0018,nonstarter,15240,"Lance, Trey",QB,SFO,4.40,0
2021,1,0018,nonstarter,15296,"Schwartz, Anthony",WR,CLE,11.60,1
2021,1,0018,nonstarter,15410,"Cox, Jabril",LB,DAL,0.00,0
2021,1,0018,nonstarter,15376,"Turner, Payton",DE,NOS,NA,0
2021,1,0018,nonstarter,15364,"Cisco, Andre",S,JAC,2.00,0
2021,1,0018,nonstarter,15263,"Mitchell, Elijah",RB,SFO,16.40,1
2021,1,0018,nonstarter,15330,"Jordan, Brevin",TE,HOU,NA,0
2021,1,0018,nonstarter,15242,"Trask, Kyle",QB,TBB,NA,0
2021,1,0018,nonstarter,15431,"Fields, Tony",LB,CLE,NA,0
2021,1,0018,nonstarter,15265,"Hill, Kylin",RB,GBP,2.27,0
2021,1,0018,nonstarter,15348,"Basham, Carlos",DE,BUF,NA,0
2021,1,0018,nonstarter,15473,"McDuffie, Isaiah",LB,GBP,NA,0
2021,1,0018,nonstarter,13605,"Guice, Derrius",RB,FA,NA,0
2021,1,0018,nonstarter,15289,"Toney, Kadarius",WR,NYG,1.80,0
2021,1,0033,starter,11640,"Bridgewater, Teddy",QB,DEN,20.46,0
2021,1,0033,starter,13404,"Ekeler, Austin",RB,LAC,11.70,1
2021,1,0033,starter,14081,"Gaskin, Myles",RB,MIA,12.60,1
2021,1,0033,starter,13319,"Jones, Aaron",RB,GBP,4.20,0
2021,1,0033,starter,13131,"Mixon, Joe",RB,CIN,25.00,1
2021,1,0033,starter,10973,"Beasley, Cole",WR,BUF,14.00,1
2021,1,0033,starter,14127,"Meyers, Jakobi",WR,NEP,10.40,1
2021,1,0033,starter,13674,"Goedert, Dallas",TE,PHI,14.20,1
2021,1,0033,starter,10868,"Zuerlein, Greg",PK,DAL,10.15,1
2021,1,0033,starter,12686,"Bosa, Joey",DE,LAC,14.00,1
2021,1,0033,starter,10292,"Jordan, Cameron",DE,NOS,0.00,0
2021,1,0033,starter,13706,"Baker, Jerome",LB,MIA,21.00,1
2021,1,0033,starter,15082,"Barnes, Krys",LB,GBP,15.00,1
2021,1,0033,starter,13216,"Cunningham, Zach",LB,TEN,12.00,1
2021,1,0033,starter,10816,"Davis, Demario",LB,NOS,6.00,0
2021,1,0033,starter,14927,"Chinn, Jeremy",S,CAR,8.00,1
2021,1,0033,starter,14224,"Gardner-Johnson, Chauncey",S,NOS,4.00,0
2021,1,0033,starter,13274,"Johnson, John",S,CLE,11.00,1
2021,1,0033,nonstarter,13139,"Williams, Jamaal",RB,DET,25.00,1
2021,1,0033,nonstarter,12739,"Clark, Kenny",DT,GBP,8.00,1
2021,1,0033,nonstarter,13168,"Reynolds, Josh",WR,DET,NA,0
2021,1,0033,nonstarter,13631,"Washington, James",WR,PIT,3.00,0
2021,1,0033,nonstarter,12647,"Fuller, Will",WR,MIA,NA,0
2021,1,0033,nonstarter,13620,"Jackson, Justin",RB,LAC,1.70,0
2021,1,0033,nonstarter,14113,"Hardman, Mecole",WR,KCC,5.25,0
2021,1,0033,nonstarter,14143,"Knox, Dawson",TE,BUF,8.10,0
2021,1,0033,nonstarter,12075,"Barrett, Shaq",LB,TBB,11.00,1
2021,1,0033,nonstarter,14058,"Haskins, Dwayne",QB,PIT,NA,0
2021,1,0033,nonstarter,14260,"Holcomb, Cole",LB,WAS,18.00,1
2021,1,0033,nonstarter,13679,"Herndon, Chris",TE,MIN,0.00,0
2021,1,0033,nonstarter,14807,"Kelley, Joshua",RB,LAC,NA,0
