"season","week","franchise_id","starter_status","player_id","should_start","player_score","player_name","pos","team"
2020,1,"0005","starter","13593",0,27.5,"Jackson, Lamar","QB","BAL"
2020,1,"0005","starter","12150",1,13.7,"Gurley, Todd","RB","ATL"
2020,1,"0005","starter","13130",1,28.5,"McCaffrey, Christian","RB","CAR"
2020,1,"0005","starter","14208",0,11.35,"Johnson, Diontae","WR","PIT"
2020,1,"0005","starter","10738",0,9.5,"Jones, Marvin","WR","DET"
2020,1,"0005","starter","11678",0,12.3,"Robinson, Allen","WR","CHI"
2020,1,"0005","starter","12652",0,4.7,"Thomas, Michael","WR","NOS"
2020,1,"0005","starter","8687",0,12.4,"Olsen, Greg","TE","FA"
2020,1,"0005","starter","13354",1,8.8,"Butker, Harrison","PK","KCC"
2020,1,"0005","starter","14225",0,2,"Crosby, Maxx","DE","LVR"
2020,1,"0005","starter","11769",1,4,"Lawrence, Demarcus","DE","DAL"
2020,1,"0005","starter","13216",1,12,"Cunningham, Zach","LB","HOU"
2020,1,"0005","starter","14247",1,10,"Greenlaw, Dre","LB","SFO"
2020,1,"0005","starter","12241",1,20,"Johnson, Alexander","LB","DEN"
2020,1,"0005","starter","12985",0,9,"Littleton, Cory","LB","LVR"
2020,1,"0005","starter","13813",0,10,"Oluokun, Foyesade","LB","ATL"
2020,1,"0005","starter","13322",1,13,"Clark, Chuck","S","BAL"
2020,1,"0005","starter","13231",0,8.95,"Peppers, Jabrill","S","NYG"
2020,1,"0005","nonstarter","10703",1,31.78,"Wilson, Russell","QB","SEA"
2020,1,"0005","nonstarter","12634",0,6.7,"Howard, Jordan","RB","PHI"
2020,1,"0005","nonstarter","12175",1,18.1,"Cooper, Amari","WR","DAL"
2020,1,"0005","nonstarter","11517",1,19,"McDougald, Bradley","S","NYJ"
2020,1,"0005","nonstarter","13715",0,0,"Harrison, Ronnie","S","CLE"
2020,1,"0005","nonstarter","13188",0,13.6,"Howard, O.J.","TE","TBB"
2020,1,"0005","nonstarter","12386",1,26,"Brown, Malcolm","RB","LAR"
2020,1,"0005","nonstarter","13158",0,NA,"Westbrook, Dede","WR","JAC"
2020,1,"0005","nonstarter","13633",0,1.4,"Kirk, Christian","WR","ARI"
2020,1,"0005","nonstarter","13672",0,6,"Gesicki, Mike","TE","MIA"
2020,1,"0005","nonstarter","11760",0,19.26,"Garoppolo, Jimmy","QB","SFO"
2020,1,"0005","nonstarter","12481",1,11,"Hewitt, Neville","LB","NYJ"
2020,1,"0005","nonstarter","14169",0,NA,"Wilson, Mack","LB","CLE"
2020,1,"0005","nonstarter","13192",1,14,"Njoku, David","TE","CLE"
2020,1,"0005","nonstarter","14224",1,21,"Gardner-Johnson, Chauncey","S","NOS"
2020,1,"0005","nonstarter","12736",0,8,"Neal, Keanu","S","ATL"
2020,1,"0005","nonstarter","13775",0,8,"Bentley, Ja'Whaun","LB","NEP"
2020,1,"0005","nonstarter","14106",0,NA,"Butler, Hakeem","WR","PHI"
2020,1,"0005","nonstarter","13447",0,9,"Wilson, Eric","LB","MIN"
2020,1,"0005","nonstarter","14800",1,14.2,"Dobbins, J.K.","RB","BAL"
2020,1,"0005","nonstarter","14877",1,15,"Young, Chase","DE","WAS"
2020,1,"0005","nonstarter","14926",0,0,"Gay, Willie","LB","KCC"
2020,1,"0005","nonstarter","14852",0,6.4,"Gibson, Antonio","RB","WAS"
2020,1,"0005","nonstarter","14847",0,4.12,"Duvernay, Devin","WR","BAL"
2020,1,"0005","nonstarter","14843",0,NA,"Bowden, Lynn","RB","MIA"
2020,1,"0005","nonstarter","13793",1,19.6,"Valdes-Scantling, Marquez","WR","GBP"
2020,1,"0001","starter","13593",1,27.5,"Jackson, Lamar","QB","BAL"
2020,1,"0001","starter","13612",0,1.4,"Johnson, Kerryon","RB","DET"
2020,1,"0001","starter","13130",1,28.5,"McCaffrey, Christian","RB","CAR"
2020,1,"0001","starter","13131",0,7.1,"Mixon, Joe","RB","CIN"
2020,1,"0001","starter","11674",0,4,"Cooks, Brandin","WR","HOU"
