"game_id","season","week","franchise_id","opponent_id","franchise_score","opponent_score","score_differential","franchise_elo_pregame","opponent_elo_pregame","elo_shift","franchise_elo_postgame"
"2017100030007",2017,1,"0007","0003",220.76,167.14,53.62,1492,1392,16,1535
"2017100080009",2017,1,"0009","0008",233.92,218.04,15.88,1476,1525,22,1526
"2017100110012",2017,1,"0012","0011",203.88,177.24,26.64,1573,1581,20,1577
"2017100040013",2017,1,"0013","0004",231.38,260.74,-29.36,1449,1540,-12,1464
"2017100210025",2017,1,"0025","0021",178.28,197.83,-19.55,1616,1457,-25,1601
"2017100280032",2017,1,"0032","0028",227,210.08,16.92,1447,1647,29,1500
"2017100060015",2017,1,"0015","0006",162.72,205.2,-42.48,1486,1642,-9,1465
"2017100160026",2017,1,"0026","0016",194.47,247.24,-52.77,1478,1585,-12,1452
"2017100310036",2017,1,"0036","0031",244.02,215.62,28.4,1440,1605,28,1490
"2017100100019",2017,1,"0019","0010",192.3,155.5,36.8,1557,1530,19,1554
"2017100220023",2017,1,"0023","0022",159.14,196.99,-37.85,1341,1499,-9,1328
"2017100240034",2017,1,"0034","0024",217.28,171,46.28,1595,1440,13,1625
"2017100010002",2017,1,"0002","0001",157.42,196.99,-39.57,1535,1631,-12,1504
"2017100050018",2017,1,"0018","0005",183.22,203.09,-19.87,1571,1518,-20,1569
"2017100270033",2017,1,"0033","0027",165.04,195.98,-30.94,1484,1463,-18,1450
"2017100140017",2017,1,"0017","0014",258.99,183.32,75.67,1581,1659,24,1619
"2017100200029",2017,1,"0029","0020",182.24,186.88,-4.64,1664,1539,-23,1622
"2017100300035",2017,1,"0035","0030",161.38,213.89,-52.51,1416,1493,-13,1391
"2017100030025",2017,1,"0025","0003",178.28,167.14,11.14,1616,1392,10,1601
"2017100070028",2017,1,"0028","0007",210.08,220.76,-10.68,1647,1492,-25,1596
"2017100080032",2017,1,"0032","0008",227,218.04,8.96,1447,1525,24,1500
"2017100090006",2017,1,"0006","0009",205.2,233.92,-28.72,1642,1476,-25,1630
"2017100110015",2017,1,"0015","0011",162.72,177.24,-14.52,1486,1581,-12,1465
"2017100120016",2017,1,"0016","0012",247.24,203.88,43.36,1585,1573,20,1621
"2017100040026",2017,1,"0026","0004",194.47,260.74,-66.27,1478,1540,-14,1452
"2017100130031",2017,1,"0031","0013",215.62,231.38,-15.76,1605,1449,-25,1555
"2017100210036",2017,1,"0036","0021",244.02,197.83,46.19,1440,1457,22,1490
"2017100100018",2017,1,"0018","0010",183.22,155.5,27.72,1571,1530,18,1569
"2017100190027",2017,1,"0027","0019",195.98,192.3,3.68,1463,1557,24,1509
