game_id,season,week,franchise_id,opponent_id,franchise_score,opponent_score,score_diff,franchise_elo_pregame,opponent_elo_pregame,elo_shift,franchise_elo_postgame
2019100160006,2019,1,0006,0016,251.42,222.42,29,1682,1672,21,1717
2019100260015,2019,1,0015,0026,213.27,193.46,19.81,1608,1643,23,1623
2019100310036,2019,1,0036,0031,240.2,191.4,48.8,1431,1485,25,1449
2019100230024,2019,1,0024,0023,229.77,263.86,-34.09,1601,1662,-11,1607
2019100340019,2019,1,0019,0034,209.42,207.47,1.95,1625,1611,18,1630
2019100100022,2019,1,0022,0010,195.8,152.54,43.26,1470,1520,24,1522
2019100040025,2019,1,0025,0004,281.51,290.32,-8.81,1703,1729,-14,1701
2019100280032,2019,1,0032,0028,237.8,254.24,-16.44,1548,1609,-12,1527
2019100210013,2019,1,0013,0021,190.1,195.52,-5.42,1430,1523,-12,1411
2019100090012,2019,1,0012,0009,206.65,175.12,31.53,1687,1665,20,1718
2019100110003,2019,1,0003,0011,167.27,214.32,-47.05,1578,1609,-13,1560
2019100080007,2019,1,0007,0008,269.97,186.02,83.95,1495,1496,22,1547
2019100170029,2019,1,0029,0017,186.06,268,-81.94,1683,1775,-9,1652
2019100140020,2019,1,0020,0014,165.7,185.09,-19.39,1493,1626,-9,1476
2019100300035,2019,1,0035,0030,149.04,185.86,-36.82,1442,1464,-13,1423
2019100050001,2019,1,0001,0005,229.66,274.2,-44.54,1701,1767,-11,1702
2019100180033,2019,1,0033,0018,211.3,169.8,41.5,1532,1640,27,1556
2019100270002,2019,1,0002,0027,182.2,228.52,-46.32,1535,1513,-15,1508
2019100160019,2019,1,0019,0016,209.42,222.42,-13,1625,1672,-13,1630
2019100060010,2019,1,0010,0006,152.54,251.42,-98.88,1520,1682,-6,1497
2019100260022,2019,1,0022,0026,195.8,193.46,2.34,1470,1643,28,1522
2019100150004,2019,1,0004,0015,290.32,213.27,77.05,1729,1608,16,1764
2019100310025,2019,1,0025,0031,281.51,191.4,90.11,1703,1485,12,1701
2019100360028,2019,1,0028,0036,254.24,240.2,14.04,1609,1431,12,1639
2019100230032,2019,1,0032,0023,237.8,263.86,-26.06,1548,1662,-9,1527
2019100240021,2019,1,0021,0024,195.52,229.77,-34.25,1523,1601,-11,1527
2019100340013,2019,1,0013,0034,190.1,207.47,-17.37,1430,1611,-7,1411
2019100090020,2019,1,0020,0009,165.7,175.12,-9.42,1493,1665,-8,1476
2019100120030,2019,1,0030,0012,185.86,206.65,-20.79,1464,1687,-5,1479
2019100110035,2019,1,0035,0011,149.04,214.32,-65.28,1442,1609,-6,1423
2019100030005,2019,1,0005,0003,274.2,167.27,106.93,1767,1578,13,1798
2019100080001,2019,1,0001,0008,229.66,186.02,43.64,1701,1496,12,1702
2019100070018,2019,1,0018,0007,169.8,269.97,-100.17,1640,1495,-20,1601
2019100170033,2019,1,0033,0017,211.3,268,-56.7,1532,1775,-3,1556
2019100290027,2019,1,0027,0029,228.52,186.06,42.46,1513,1683,30,1566
2019100140002,2019,1,0002,0014,182.2,185.09,-2.89,1535,1626,-12,1508
2019100160006,2019,1,0016,0006,222.42,251.42,-29,1672,1682,-14,1676
2019100260015,2019,1,0026,0015,193.46,213.27,-19.81,1643,1608,-17,1601
2019100310036,2019,1,0031,0036,191.4,240.2,-48.8,1485,1431,-17,1464
2019100230024,2019,1,0023,0024,263.86,229.77,34.09,1662,1601,18,1695
2019100340019,2019,1,0034,0019,207.47,209.42,-1.95,1611,1625,-16,1607
2019100100022,2019,1,0010,0022,152.54,195.8,-43.26,1520,1470,-17,1497
2019100040025,2019,1,0004,0025,290.32,281.51,8.81,1729,1703,19,1764
2019100280032,2019,1,0028,0032,254.24,237.8,16.44,1609,1548,18,1639
2019100210013,2019,1,0021,0013,195.52,190.1,5.42,1523,1430,15,1527
2019100090012,2019,1,0009,0012,175.12,206.65,-31.53,1665,1687,-13,1664
2019100110003,2019,1,0011,0003,214.32,167.27,47.05,1609,1578,20,1643
2019100080007,2019,1,0008,0007,186.02,269.97,-83.95,1496,1495,-14,1477
2019100170029,2019,1,0017,0029,268,186.06,81.94,1775,1683,18,1804
2019100140020,2019,1,0014,0020,185.09,165.7,19.39,1626,1493,14,1655
2019100300035,2019,1,0030,0035,185.86,149.04,36.82,1464,1442,20,1479
2019100050001,2019,1,0005,0001,274.2,229.66,44.54,1767,1701,18,1798
2019100180033,2019,1,0018,0033,169.8,211.3,-41.5,1640,1532,-19,1601
2019100270002,2019,1,0027,0002,228.52,182.2,46.32,1513,1535,23,1566
2019100160019,2019,1,0016,0019,222.42,209.42,13,1672,1625,18,1676
2019100060010,2019,1,0006,0010,251.42,152.54,98.88,1682,1520,14,1717
2019100260022,2019,1,0026,0022,193.46,195.8,-2.34,1643,1470,-25,1601
2019100150004,2019,1,0015,0004,213.27,290.32,-77.05,1608,1729,-8,1623
2019100310025,2019,1,0031,0025,191.4,281.51,-90.11,1485,1703,-4,1464
2019100360028,2019,1,0036,0028,240.2,254.24,-14.04,1431,1609,-7,1449
2019100230032,2019,1,0023,0032,263.86,237.8,26.06,1662,1548,15,1695
2019100240021,2019,1,0024,0021,229.77,195.52,34.25,1601,1523,17,1607
2019100340013,2019,1,0034,0013,207.47,190.1,17.37,1611,1430,12,1607
2019100090020,2019,1,0009,0020,175.12,165.7,9.42,1665,1493,12,1664
2019100120030,2019,1,0012,0030,206.65,185.86,20.79,1687,1464,11,1718
2019100110035,2019,1,0011,0035,214.32,149.04,65.28,1609,1442,14,1643
2019100030005,2019,1,0003,0005,167.27,274.2,-106.93,1578,1767,-5,1560
2019100080001,2019,1,0008,0001,186.02,229.66,-43.64,1496,1701,-5,1477
2019100070018,2019,1,0007,0018,269.97,169.8,100.17,1495,1640,30,1547
2019100170033,2019,1,0017,0033,268,211.3,56.7,1775,1532,11,1804
2019100290027,2019,1,0029,0027,186.06,228.52,-42.46,1683,1513,-22,1652
2019100140002,2019,1,0014,0002,185.09,182.2,2.89,1626,1535,15,1655
