week,franchise_id,win,pf,pp,coach,all_play_wins,pf_rank,pp_rank,record_rank,all_play_rank,coach_rank,true_standing,true_rank
01,0001,0,210.49,273.86,-63.37,23,13,13,3,13,21,63,14
04,0012,1,223.14,237.24,-14.1,20,16,28,2,16,1,63,13
06,0003,2,219.46,239.76,-20.3,20,16,27,1,16,3,63,14
05,0031,2,226.56,241.86,-15.3,20,16,28,1,16,2,63,14
02,0027,1,234.8,251.1,-16.3,21,15,31,2,15,1,64,13
03,0016,1,239.18,266.78,-27.6,19,17,23,2,17,5,64,14
05,0018,0,233.02,309.68,-76.66,22,14,3,3,14,31,65,15
05,0003,1,224.06,244.82,-20.76,19,17,26,2,17,3,65,16
04,0015,1,230.74,302.82,-72.08,24,12,12,2,12,27,65,14
04,0034,2,222.23,269.43,-47.2,19,17,20,1,17,10,65,15
04,0025,2,225.14,280.24,-55.1,21,15,17,1,15,17,65,16
01,0030,1,209.94,307.63,-97.69,22,14,4,2,14,32,66,15
04,0014,1,220.98,260.9,-39.92,18,18,22,2,18,6,66,17
05,0019,1,229.16,265.14,-35.98,21,15,19,2,15,15,66,17
02,0019,1,241.72,304.92,-63.2,23,13,12,2,13,26,66,14
06,0005,1,226.32,294.72,-68.4,22,14,5,2,14,32,67,15
02,0031,1,241.03,301.48,-60.45,22,14,14,2,14,23,67,15
03,0015,1,244.06,303.24,-59.18,22,14,10,2,14,27,67,15
01,0022,1,203.34,262.94,-59.6,20,16,16,2,16,18,68,16
06,0034,1,214.98,249.88,-34.9,18,18,20,2,18,11,69,16
02,0033,2,227.22,261.97,-34.75,18,18,28,1,18,5,70,16
06,0018,1,212.5,246.5,-34,17,19,22,2,19,9,71,17
06,0022,1,222.34,270.14,-47.8,21,15,14,2,15,25,71,18
03,0019,1,238.68,276.28,-37.6,18,18,18,2,18,15,71,16
04,0004,0,229.54,302.64,-73.1,22,14,13,3,14,28,72,18
03,0018,1,239.6,311.1,-71.5,21,15,7,2,15,33,72,17
