season,bowl,bracket,week,game_id,franchise_id,franchise_points,match_result,po_finish,title
2021,PB,Pro Bowl,14,PB-2021-01,0031,195.1,L,5,0
2021,PB,Pro Bowl,14,PB-2021-02,0025,317.83,W,NA,0
2021,PB,Pro Bowl,14,PB-2021-03,0008,214.04,W,NA,0
2021,PB,Pro Bowl,14,PB-2021-04,0029,172.32,L,5,0
2021,PB,Pro Bowl,14,PB-2021-01,0020,195.34,W,NA,0
2021,PB,Pro Bowl,14,PB-2021-02,0036,225.84,L,5,0
2021,PB,Pro Bowl,14,PB-2021-03,0006,158.02,L,5,0
2021,PB,Pro Bowl,14,PB-2021-04,0005,175.08,W,NA,0
2021,SB,Super Bowl RFC,14,SB-2021-01,0021,225.04,L,7,0
2021,SB,Super Bowl RFC,14,SB-2021-02,0004,219.48,L,7,0
2021,SB,Super Bowl BFC,14,SB-2021-03,0003,278.37,W,NA,NA
2021,SB,Super Bowl BFC,14,SB-2021-04,0014,226.7,L,7,0
2021,SB,Super Bowl RFC,14,SB-2021-01,0033,250.04,W,NA,NA
2021,SB,Super Bowl RFC,14,SB-2021-02,0015,226.34,W,NA,NA
2021,SB,Super Bowl BFC,14,SB-2021-03,0012,197.72,L,7,0
2021,SB,Super Bowl BFC,14,SB-2021-04,0023,250.92,W,NA,NA
2021,TB,Toilet Bowl,14,TB-2021-01,0018,141.86,L,5,0
2021,TB,Toilet Bowl,14,TB-2021-02,0035,197.62,L,5,0
2021,TB,Toilet Bowl,14,TB-2021-03,0010,178.42,L,5,0
2021,TB,Toilet Bowl,14,TB-2021-04,0028,167.38,L,5,0
2021,TB,Toilet Bowl,14,TB-2021-01,0011,205.42,W,NA,0
2021,TB,Toilet Bowl,14,TB-2021-02,0024,210.2,W,NA,0
2021,TB,Toilet Bowl,14,TB-2021-03,0009,190.72,W,NA,0
2021,TB,Toilet Bowl,14,TB-2021-04,0002,169.52,W,NA,0
2021,PB,Pro Bowl,15,PB-2021-05,0020,172.03,L,4,0
2021,PB,Pro Bowl,15,PB-2021-06,0005,206.84,L,4,0
2021,PB,Pro Bowl,15,PB-2021-07,0025,208.83,W,NA,0
2021,PB,Pro Bowl,15,PB-2021-08,0008,153.42,L,4,0
2021,PB,Pro Bowl,15,PB-2021-05,0026,228.94,W,NA,0
2021,PB,Pro Bowl,15,PB-2021-06,0030,224.44,W,NA,0
2021,PB,Pro Bowl,15,PB-2021-07,0007,184.06,L,4,0
2021,PB,Pro Bowl,15,PB-2021-08,0019,167.98,W,NA,0
2021,SB,Super Bowl RFC,15,SB-2021-05,0033,206.65,W,NA,NA
2021,SB,Super Bowl RFC,15,SB-2021-06,0015,230.35,W,NA,NA
2021,SB,Super Bowl BFC,15,SB-2021-07,0003,183.95,W,NA,NA
2021,SB,Super Bowl BFC,15,SB-2021-08,0023,199.9,L,6,0
2021,SB,Super Bowl RFC,15,SB-2021-05,0013,201.14,L,6,0
2021,SB,Super Bowl RFC,15,SB-2021-06,0016,228.7,L,6,0
2021,SB,Super Bowl BFC,15,SB-2021-07,0022,178.21,L,6,0
2021,SB,Super Bowl BFC,15,SB-2021-08,0017,304.26,W,NA,NA
2021,TB,Toilet Bowl,15,TB-2021-05,0011,210.43,W,NA,0
2021,TB,Toilet Bowl,15,TB-2021-06,0002,174.03,L,4,0
2021,TB,Toilet Bowl,15,TB-2021-07,0024,188.4,L,4,0
2021,TB,Toilet Bowl,15,TB-2021-08,0009,123.62,L,4,0
2021,TB,Toilet Bowl,15,TB-2021-05,0027,195.41,L,4,0
2021,TB,Toilet Bowl,15,TB-2021-06,0001,201.32,W,NA,0
2021,TB,Toilet Bowl,15,TB-2021-07,0034,242.84,W,NA,0
2021,TB,Toilet Bowl,15,TB-2021-08,0032,171.06,W,NA,0
2021,PB,Pro Bowl,16,PB-2021-09,0026,265.06,W,NA,0
2021,PB,Pro Bowl,16,PB-2021-10,0025,200.48,W,NA,0
2021,PB,Pro Bowl,16,PB-2021-09,0030,150.6,L,3,0
2021,PB,Pro Bowl,16,PB-2021-10,0019,165.47,L,3,0
2021,SB,Super Bowl RFC,16,SB-2021-09,0033,260.1,W,NA,NA
2021,SB,Super Bowl BFC,16,SB-2021-10,0003,200.16,L,5,0
2021,SB,Super Bowl RFC,16,SB-2021-09,0015,240.7,L,5,0
2021,SB,Super Bowl BFC,16,SB-2021-10,0017,224.08,W,NA,NA
2021,TB,Toilet Bowl,16,TB-2021-09,0011,187.9,L,3,0
2021,TB,Toilet Bowl,16,TB-2021-10,0034,157.79,L,3,0
2021,TB,Toilet Bowl,16,TB-2021-09,0001,211.42,W,NA,0
2021,TB,Toilet Bowl,16,TB-2021-10,0032,176.48,W,NA,0
2021,PB,Pro Bowl,17,PB-2021-11,0026,176.85,L,2,0
2021,PB,Pro Bowl,17,PB-2021-11,0025,285.76,W,1,0
2021,SB,Superbowl,17,SB-2021-11,0033,263.04,W,1,1
2021,SB,Spiel um Platz drei,17,SB-2021-12,0015,221.29,W,3,0
2021,SB,Superbowl,17,SB-2021-11,0017,198.11,L,2,0
2021,SB,Spiel um Platz drei,17,SB-2021-12,0003,201.8,L,4,0
2021,TB,Toilet Bowl,17,TB-2021-11,0001,218.58,L,2,0
2021,TB,Toilet Bowl,17,TB-2021-11,0032,224,W,1,0
