season,bowl,bracket,week,game_id,franchise_id,franchise_points,match_result,po_finish,title
2018,PB,Pro Bowl,13,PB-2018-01,0032,168.28,L,5,0
2018,PB,Pro Bowl,13,PB-2018-02,0033,228.4,W,NA,0
2018,PB,Pro Bowl,13,PB-2018-03,0010,194.21,L,5,0
2018,PB,Pro Bowl,13,PB-2018-04,0003,165.33,L,5,0
2018,PB,Pro Bowl,13,PB-2018-01,0018,269.3,W,NA,0
2018,PB,Pro Bowl,13,PB-2018-02,0019,184.88,L,5,0
2018,PB,Pro Bowl,13,PB-2018-03,0034,203.66,W,NA,0
2018,PB,Pro Bowl,13,PB-2018-04,0028,218.96,W,NA,0
2018,SB,Super Bowl RFC,13,SB-2018-01,0024,250.96,W,NA,NA
2018,SB,Super Bowl RFC,13,SB-2018-02,0029,199.1,L,7,0
2018,SB,Super Bowl BFC,13,SB-2018-03,0006,316.05,W,NA,NA
2018,SB,Super Bowl BFC,13,SB-2018-04,0001,254.9,L,7,0
2018,SB,Super Bowl RFC,13,SB-2018-01,0009,217.59,L,7,0
2018,SB,Super Bowl RFC,13,SB-2018-02,0012,363.16,W,NA,NA
2018,SB,Super Bowl BFC,13,SB-2018-03,0016,269.36,L,7,0
2018,SB,Super Bowl BFC,13,SB-2018-04,0025,276.04,W,NA,NA
2018,TB,Toilet Bowl,13,TB-2018-01,0013,170.39,W,NA,0
2018,TB,Toilet Bowl,13,TB-2018-02,0036,171.72,L,5,0
2018,TB,Toilet Bowl,13,TB-2018-03,0022,207.73,W,NA,0
2018,TB,Toilet Bowl,13,TB-2018-04,0035,110.14,L,5,0
2018,TB,Toilet Bowl,13,TB-2018-01,0030,147.24,L,5,0
2018,TB,Toilet Bowl,13,TB-2018-02,0020,183.7,W,NA,0
2018,TB,Toilet Bowl,13,TB-2018-03,0031,181.33,L,5,0
2018,TB,Toilet Bowl,13,TB-2018-04,0007,187.54,W,NA,0
2018,PB,Pro Bowl,14,PB-2018-05,0018,148.38,L,4,0
2018,PB,Pro Bowl,14,PB-2018-06,0028,275.74,W,NA,0
2018,PB,Pro Bowl,14,PB-2018-07,0033,216.98,L,4,0
2018,PB,Pro Bowl,14,PB-2018-08,0034,238.52,W,NA,0
2018,PB,Pro Bowl,14,PB-2018-05,0026,234.18,W,NA,0
2018,PB,Pro Bowl,14,PB-2018-06,0014,203.59,L,4,0
2018,PB,Pro Bowl,14,PB-2018-07,0015,257.38,W,NA,0
2018,PB,Pro Bowl,14,PB-2018-08,0011,229.95,L,4,0
2018,SB,Super Bowl RFC,14,SB-2018-05,0024,240.6,L,6,0
2018,SB,Super Bowl RFC,14,SB-2018-06,0012,226.6,L,6,0
2018,SB,Super Bowl BFC,14,SB-2018-07,0006,250.56,L,6,0
2018,SB,Super Bowl BFC,14,SB-2018-08,0025,304.42,W,NA,NA
2018,SB,Super Bowl RFC,14,SB-2018-05,0017,270.65,W,NA,NA
2018,SB,Super Bowl RFC,14,SB-2018-06,0023,264.7,W,NA,NA
2018,SB,Super Bowl BFC,14,SB-2018-07,0005,263.69,W,NA,NA
2018,SB,Super Bowl BFC,14,SB-2018-08,0004,227.63,L,6,0
2018,TB,Toilet Bowl,14,TB-2018-05,0013,193.55,L,4,0
2018,TB,Toilet Bowl,14,TB-2018-06,0007,191.78,W,NA,0
2018,TB,Toilet Bowl,14,TB-2018-07,0020,182.25,W,NA,0
2018,TB,Toilet Bowl,14,TB-2018-08,0022,193.2,L,4,0
2018,TB,Toilet Bowl,14,TB-2018-05,0027,248.68,W,NA,0
2018,TB,Toilet Bowl,14,TB-2018-06,0021,175.92,L,4,0
2018,TB,Toilet Bowl,14,TB-2018-07,0002,156.63,L,4,0
2018,TB,Toilet Bowl,14,TB-2018-08,0008,246.04,W,NA,0
2018,PB,Pro Bowl,15,PB-2018-09,0026,215.3,L,3,0
2018,PB,Pro Bowl,15,PB-2018-10,0015,232.36,W,NA,0
2018,PB,Pro Bowl,15,PB-2018-09,0028,243.38,W,NA,0
2018,PB,Pro Bowl,15,PB-2018-10,0034,189.86,L,3,0
2018,SB,Super Bowl RFC,15,SB-2018-09,0017,222.22,L,5,0
2018,SB,Super Bowl BFC,15,SB-2018-10,0005,228.98,L,5,0
2018,SB,Super Bowl RFC,15,SB-2018-09,0023,238.44,W,NA,NA
2018,SB,Super Bowl BFC,15,SB-2018-10,0025,240.3,W,NA,NA
2018,TB,Toilet Bowl,15,TB-2018-09,0027,233.22,W,NA,0
2018,TB,Toilet Bowl,15,TB-2018-10,0020,206.39,W,NA,0
2018,TB,Toilet Bowl,15,TB-2018-09,0007,211.7,L,3,0
2018,TB,Toilet Bowl,15,TB-2018-10,0008,179.46,L,3,0
2018,PB,Pro Bowl,16,PB-2018-11,0028,211.56,L,2,0
2018,PB,Pro Bowl,16,PB-2018-11,0015,242.26,W,1,0
2018,SB,Superbowl,16,SB-2018-11,0025,245.49,L,2,0
2018,SB,Spiel um Platz drei,16,SB-2018-12,0005,250.04,L,4,0
2018,SB,Superbowl,16,SB-2018-11,0023,273.74,W,1,1
2018,SB,Spiel um Platz drei,16,SB-2018-12,0017,262.86,W,3,0
2018,TB,Toilet Bowl,16,TB-2018-11,0027,197.24,W,1,0
2018,TB,Toilet Bowl,16,TB-2018-11,0020,153.84,L,2,0
