"franchise_id","franchise_name","player_id","player_name","starter","points","ppg","vbd_mfl_total","vbd_mfl_avg","vbd_true_total","vbd_true_avg","true_position","mfl_position","key","type","factor_pos","factor_tier","factor_avg","points_calc"
"0001","Dortmund Cardinals",12688,"Buckner, DeForest",3,152,9.33333333333333,6.855,2.285,3.562,1.18733333333333,"DL","DL","mfl_DL_1","mfl",0.582244655581948,1,0.791122327790974,120.250593824228
"0001","Dortmund Cardinals",12701,"Smith, Jaylon",2,269,13.331,8.466,2.822,12.338,4.11266666666667,"LB","LB","mfl_LB_1","mfl",1,1,1,269
"0001","Dortmund Cardinals",13813,"Oluokun, Foyesade",2,309,13.6223333333333,9.34,3.11333333333333,13.212,4.404,"LB","LB","mfl_LB_1","mfl",1,1,1,309
"0001","Dortmund Cardinals",12736,"Neal, Keanu",2,187,9.677,-3.647,-1.21566666666667,-2.78,-0.926666666666666,"LB","LB","mfl_LB_5","mfl",1,0.682304038004751,0.841152019002375,157.295427553444
"0001","Dortmund Cardinals",12218,"Armstead, Arik",2,139,6.917,-0.394,-0.131333333333333,-3.687,-1.229,"DL","DL","mfl_DL_2","mfl",0.556440903054449,0.854665986741458,0.705553444897954,98.0719288408156
"0001","Dortmund Cardinals",13221,"Davis, Jarrad",1,123,6.96033333333333,-10.646,-3.54866666666667,-6.774,-2.258,"LB","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,71.3399613435315
"0001","Dortmund Cardinals",14164,"Jones, Dre'Mont",0,46,5.33833333333333,-5.13,-1.71,-8.423,-2.80766666666667,"DL","DL","mfl_DL_6","mfl",0.676115727697798,0.185794906685591,0.430955317191694,19.8239445908179
"0001","Dortmund Cardinals",15352,"Collins, Zaven",0,43,2.688,-7.579,-7.579,-6.712,-6.712,"LB","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,24.93998648595
"0001","Dortmund Cardinals",13216,"Cunningham, Zach",2,287,14.675,12.498,4.166,16.37,5.45666666666667,"LB","LB","mfl_LB_1","mfl",1,1,1,287
"0001","Dortmund Cardinals",14947,"Wonnum, D.J.",1,99,5.201,-3.493,-1.7465,-5.161,-2.5805,"DL","DL","mfl_DL_5","mfl",0.521322889469104,0.610912799592045,0.566117844530574,56.0456666085269
"0001","Dortmund Cardinals",15379,"Tryon, Joe",0,58,3.625,-6.642,-6.642,-4.313,-4.313,"DL","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,33.6399817717465
"0001","Dortmund Cardinals",14923,"Taylor, Darrell",0,81,5.4,-1.162,-1.162,-2.538,-2.538,"DL","DL","mfl_DL_6","mfl",0.676115727697798,0.185794906685591,0.430955317191694,34.9073806925273
"0001","Dortmund Cardinals",10272,"Watt, J.J.",3,141,7.616,1.703,0.567666666666666,-1.59,-0.53,"DL","DL","mfl_DL_2","mfl",0.556440903054449,0.854665986741458,0.705553444897954,99.4830357306115
"0001","Dortmund Cardinals",15443,"Wallow, Garret",0,37,2.312,-7.955,-7.955,-7.088,-7.088,"LB","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,21.4599883716314
"0002","Wolftown Rocketeers",12756,"Ngakoue, Yannick",2,146,7.30933333333333,0.783,0.261,-2.51,-0.836666666666666,"DL","DL","mfl_DL_1","mfl",0.582244655581948,1,0.791122327790974,115.503859857482
"0002","Wolftown Rocketeers",13765,"Young, Kenny",0,27,6.22966666666667,-12.838,-4.27933333333333,-8.966,-2.98866666666667,"LB","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,15.6599915144337
"0002","Wolftown Rocketeers",14225,"Crosby, Maxx",3,143,7.292,-9.651,-3.217,-2.562,-0.854,"DL","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,82.9399550579268
"0002","Wolftown Rocketeers",13284,"Hendrickson, Trey",0,51,6.16333333333333,-2.655,-0.885,-5.948,-1.98266666666667,"DL","DL","mfl_DL_6","mfl",0.676115727697798,0.185794906685591,0.430955317191694,21.9787211767764
"0002","Wolftown Rocketeers",15352,"Collins, Zaven",0,43,2.688,-7.579,-7.579,-6.712,-6.712,"LB","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,24.93998648595
"0002","Wolftown Rocketeers",15351,"Owusu-Koramoah, Jeremiah",0,139,10.692,0.425000000000001,0.425000000000001,1.292,1.292,"LB","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,80.6199563150477
"0002","Wolftown Rocketeers",15346,"Rousseau, Gregory",0,111,6.938,0.375999999999999,0.375999999999999,-1,-1,"DL","DL","mfl_DL_4","mfl",0.536397058823529,0.669607343192249,0.603002201007889,66.9332443118757
"0002","Wolftown Rocketeers",14590,"Al-Shaair, Azeez",1,191,6.65,-11.577,-3.859,-7.705,-2.56833333333333,"LB","LB","mfl_LB_5","mfl",1,0.682304038004751,0.841152019002375,160.660035629454
"0002","Wolftown Rocketeers",12753,"Nassib, Carl",0,88,4.91766666666667,-6.392,-2.13066666666667,-9.685,-3.22833333333333,"DL","DL","mfl_DL_6","mfl",0.676115727697798,0.185794906685591,0.430955317191694,37.9240679128691
"0002","Wolftown Rocketeers",14249,"Van Ginkel, Andrew",1,124,6.52066666666667,-11.965,-3.98833333333333,-4.876,-1.62533333333333,"DL","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,71.9199610292512
"0002","Wolftown Rocketeers",12795,"Judon, Matt",2,147,8.792,-5.151,-1.717,1.938,0.646,"DL","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,85.2599538008059
"0002","Wolftown Rocketeers",13330,"Muhammad, Al-Quadin",1,97,4.41633333333333,-7.896,-2.632,-11.189,-3.72966666666667,"DL","DL","mfl_DL_6","mfl",0.676115727697798,0.185794906685591,0.430955317191694,41.8026657675944
"0002","Wolftown Rocketeers",13293,"Reeves-Maybin, Jalen",0,47,4.05666666666667,-19.357,-6.45233333333333,-15.485,-5.16166666666667,"LB","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,27.2599852288291
"0002","Wolftown Rocketeers",10653,"Bynes, Josh",0,87,9.09466666666667,-4.243,-1.41433333333333,-0.371,-0.123666666666667,"LB","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,50.4599726576198
"0002","Wolftown Rocketeers",13267,"Smoot, Dawuane",0,56,4.55266666666667,-7.487,-2.49566666666667,-10.78,-3.59333333333333,"DL","DL","mfl_DL_6","mfl",0.676115727697798,0.185794906685591,0.430955317191694,24.1334977627349
"0002","Wolftown Rocketeers",14943,"Davis-Gaither, Akeem",0,54,4.6875,-12.277,-6.1385,-9.092,-4.546,"LB","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,31.3199830288675
"0002","Wolftown Rocketeers",13202,"Lawson, Carl",0,60,3.375,-11.02,-3.67333333333333,-14.313,-4.771,"DL","DL","mfl_DL_6","mfl",0.676115727697798,0.185794906685591,0.430955317191694,25.8573190315017
"0002","Wolftown Rocketeers",11299,"Bostic, Jon",2,201,10.058,-1.353,-0.451,2.519,0.839666666666666,"LB","LB","mfl_LB_4","mfl",1,0.726840855106888,0.863420427553444,173.547505938242
"0002","Wolftown Rocketeers",13426,"Morrow, Nicholas",1,176,10.2855,-0.689,-0.3445,2.316,1.158,"LB","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,102.079944686679
"0002","Wolftown Rocketeers",14941,"Taylor, Davion",0,8,4.167,-13.318,-6.659,-10.133,-5.0665,"LB","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,4.63999748575814
"0002","Wolftown Rocketeers",14217,"Barton, Cody",0,27,1.82366666666667,-26.056,-8.68533333333333,-22.184,-7.39466666666667,"LB","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,15.6599915144337
"0002","Wolftown Rocketeers",15353,"Surratt, Chazz",0,0,0,-10.267,-10.267,-9.4,-9.4,"LB","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,0
"0003","CTU Los Angeles",13775,"Bentley, Ja'Whaun",0,66,8.93566666666667,-4.72,-1.57333333333333,-0.848000000000001,-0.282666666666667,"LB","LB","mfl_LB_6","mfl",1,0.159999371439536,0.579999685719768,38.2799792575047
"0003","CTU Los Angeles",14168,"White, Devin",3,287,16.3276666666667,17.456,5.81866666666667,21.328,7.10933333333333,"LB","LB","mfl_LB_1","mfl",1,1,1,287
"0003","CTU Los Angeles",14163,"Simmons, Jeffery",2,135,7.41266666666667,1.093,0.364333333333333,-2.2,-0.733333333333333,"DL","DL","mfl_DL_2","mfl",0.556440903054449,0.854665986741458,0.705553444897954,95.2497150612238
"0003","CTU Los Angeles",12756,"Ngakoue, Yannick",2,146,7.30933333333333,0.783,0.261,-2.51,-0.836666666666666,"DL","DL","mfl_DL_1","mfl",0.582244655581948,1,0.791122327790974,115.503859857482
