"season","week","player_id","player_name","team","points","is_available","ppg","true_position","mfl_position","vbd_mfl","vbd_true"
2018,"YTD",10850,"Marshall, Brandon","DEN",66,"0",6,"LB","LB",-4,-3.312
2021,"YTD",15472,"Roche, Quincy","NYG",66,"1",5.077,"LB","LB",-5.19,-4.323
2017,"YTD",9903,"Houston, Lamarr","CHI",65,"1",6.5,"LB","LB",-3.188,-4.885
2021,"YTD",15203,"Lynch, Blake","MIN",65,"1",4.333,"LB","LB",-5.934,-5.067
2018,"YTD",9435,"Orakpo, Brian","TEN",64,"1",4.923,"LB","LB",-5.077,-4.389
2020,"YTD",11295,"Mingo, Barkevious","CHI",62.1,"1",3.881,"LB","LB",-7.504,-5.186
2021,"YTD",13987,"Spillane, Robert","PIT",61,"1",4.692,"LB","LB",-5.575,-4.708
2021,"YTD",11721,"Mack, Khalil","CHI",61,"0",8.714,"DL","LB",-1.553,0.776000000000001
2017,"YTD",9742,"Casillas, Jonathan","NYG",60,"0",7.5,"LB","LB",-2.188,-3.885
2021,"YTD",15543,"Griffith, Jonas","DEN",60,"0",5,"LB","LB",-5.267,-4.4
2021,"YTD",13802,"Martin, Jake","HOU",60,"1",3.75,"LB","LB",-6.517,-5.65
2021,"YTD",14212,"Takitaki, Sione","CLE",60,"1",4,"LB","LB",-6.267,-5.4
2021,"YTD",12701,"Smith, Jaylon","NYG",59,"0",6.556,"LB","LB",-3.711,-2.844
2019,"YTD",11308,"Alonso, Kiko","NOS",58,"0",4.462,"LB","LB",-5.413,-4.726
2021,"YTD",15379,"Tryon, Joe","TBB",58,"0",3.625,"DL","LB",-6.642,-4.313
2020,"YTD",12087,"Davis, Todd","MIN",57,"0",5.182,"LB","LB",-6.203,-3.885
2021,"YTD",14948,"Walker, Mykal","ATL",57,"0",3.562,"LB","LB",-6.705,-5.838
2017,"YTD",10769,"Robinson, Keenan","NYG",56,"1",9.333,"LB","LB",-0.355,-2.052
2018,"YTD",13215,"Foster, Reuben","WAS",56,"0",9.333,"LB","LB",-0.667,0.0210000000000008
2021,"YTD",11349,"Collins, Jamie","NEP",56,"0",5.091,"LB","LB",-5.176,-4.309
2018,"YTD",9824,"Morgan, Derrick","TEN",55,"1",4.231,"LB","LB",-5.769,-5.081
2021,"YTD",14888,"Chaisson, K'Lavon","JAC",55,"1",3.667,"DL","LB",-6.6,-4.271
2021,"YTD",12489,"Copeland, Brandon","ATL",55,"1",3.667,"DL","LB",-6.6,-4.271
2018,"YTD",13734,"Speaks, Breeland","KCC",54,"1",3.375,"LB","LB",-6.625,-5.937
2018,"YTD",10750,"Perry, Nick","GBP",54,"1",6,"LB","LB",-4,-3.312
2021,"YTD",14932,"Lewis, Terrell","LAR",54,"1",4.909,"LB","LB",-5.358,-4.491
2021,"YTD",14943,"Davis-Gaither, Akeem","CIN",54,"0",6,"LB","LB",-4.267,-3.4
2017,"YTD",10106,"Galette, Junior","WAS",53,"1",3.312,"LB","LB",-6.376,-8.073
2020,"YTD",13829,"Downs, Devante","NYG",53,"1",3.312,"LB","LB",-8.073,-5.755
2021,"YTD",14169,"Wilson, Mack","CLE",53,"0",4.077,"LB","LB",-6.19,-5.323
2019,"YTD",10849,"Goode, Najee","JAC",52,"1",5.2,"LB","LB",-4.675,-3.988
2021,"YTD",14979,"Strnad, Justin","DEN",51,"0",3.4,"LB","LB",-6.867,-6
2017,"YTD",11102,"Wilhoite, Michael","SEA",50,"1",3.571,"LB","LB",-6.117,-7.814
2019,"YTD",10770,"Brown, Zach","FA",49,"1",8.167,"LB","LB",-1.708,-1.021
2021,"YTD",14257,"Speed, E.J.","IND",49,"1",3.062,"LB","LB",-7.205,-6.338
2021,"YTD",13837,"Franklin, Zaire","IND",49,"1",3.062,"LB","LB",-7.205,-6.338
2021,"YTD",15049,"Bachie, Joe","CIN",47,"1",5.222,"LB","LB",-5.045,-4.178
2021,"YTD",14250,"Hollins, Justin","LAR",47,"1",6.714,"DL","LB",-3.553,-1.224
2021,"YTD",15399,"Rice, Monty","TEN",47,"0",4.7,"LB","LB",-5.567,-4.7
2021,"YTD",11310,"Minter, Kevin","TBB",47,"1",3.133,"LB","LB",-7.134,-6.267
2021,"YTD",12272,"McKinney, Benardrick","NYG",46,"1",4.6,"LB","LB",-5.667,-4.8
2017,"YTD",8697,"Harris, David","NEP",45,"1",4.5,"LB","LB",-5.188,-6.885
2021,"YTD",15000,"Bailey, Markus","CIN",45,"1",3,"LB","LB",-7.267,-6.4
2017,"YTD",12728,"Anderson, Zaire","DEN",44,"1",2.75,"LB","LB",-6.938,-8.635
2021,"YTD",14154,"Nelson, Anthony","TBB",44,"1",2.75,"LB","LB",-7.517,-6.65
2021,"YTD",12763,"Fackrell, Kyler","LAC",43,"1",3.583,"DL","LB",-6.684,-4.355
2021,"YTD",15352,"Collins, Zaven","ARI",43,"0",2.688,"LB","LB",-7.579,-6.712
2017,"YTD",8497,"Brooks, Ahmad","GBP",42,"1",3.5,"LB","LB",-6.188,-7.885
2019,"YTD",11767,"Bucannon, Deone","NYG",42,"0",3,"LB","LB",-6.875,-6.188
2020,"YTD",13222,"McMillan, Raekwon","LVR",42,"0",2.625,"LB","LB",-8.76,-6.442
2021,"YTD",12234,"Dupree, Bud","TEN",42,"1",4.2,"DL","LB",-6.067,-3.738
2021,"YTD",13221,"Davis, Jarrad","NYJ",41,"0",4.556,"LB","LB",-5.711,-4.844
2021,"YTD",11830,"Kennard, Devon","ARI",41,"1",2.929,"DL","LB",-7.338,-5.009
2021,"YTD",14889,"Murray, Kenneth","LAC",41,"0",4.1,"LB","LB",-6.167,-5.3
2017,"YTD",12924,"Cowser, James","OAK",40,"1",2.5,"LB","LB",-7.188,-8.885
2021,"YTD",10749,"Ingram, Melvin","KCC",40,"1",2.857,"LB","LB",-7.41,-6.543
2019,"YTD",13309,"Moss, Avery","MIA",39,"1",3.545,"LB","LB",-6.33,-5.643
2017,"YTD",11818,"George, Jeremiah","IND",38,"1",2.375,"LB","LB",-7.313,-9.01
2021,"YTD",14893,"Baun, Zack","NOS",38,"0",2.375,"LB","LB",-7.892,-7.025
2021,"YTD",15521,"Ogbongbemiga, Amen","LAC",38,"1",2.714,"LB","LB",-7.553,-6.686
2021,"YTD",14958,"Quarterman, Shaquille","JAC",38,"1",2.375,"LB","LB",-7.892,-7.025
2021,"YTD",13685,"Okoronkwo, Ogbonnia","LAR",38,"1",3.167,"LB","LB",-7.1,-6.233
2021,"YTD",13926,"Board, Chris","BAL",38,"1",2.533,"LB","LB",-7.734,-6.867
2017,"YTD",9434,"Maualuga, Rey","FA",37,"1",6.167,"LB","LB",-3.521,-5.218
2021,"YTD",15010,"Toohill, Casey","WAS",37,"1",2.467,"LB","LB",-7.8,-6.933
2021,"YTD",15443,"Wallow, Garret","HOU",37,"0",2.312,"LB","LB",-7.955,-7.088
2021,"YTD",14379,"Woods, Josh","DET",37,"1",2.846,"LB","LB",-7.421,-6.554
2021,"YTD",13750,"Burks, Oren","GBP",36,"1",2.25,"LB","LB",-8.017,-7.15
2021,"YTD",14467,"Phillips, Del'Shawn","NYJ",35,"1",2.188,"LB","LB",-8.079,-7.212
2017,"YTD",10765,"Spence, Sean","PIT",34,"1",4.857,"LB","LB",-4.831,-6.528
2018,"YTD",12220,"Harold, Eli","DET",34,"1",2.615,"LB","LB",-7.385,-6.697
2019,"YTD",13565,"Gilbert, Reggie","TEN",34,"1",3.091,"LB","LB",-6.784,-6.097
2021,"YTD",12788,"Martinez, Blake","NYG",34,"0",11.333,"LB","LB",1.066,1.933
2021,"YTD",11299,"Bostic, Jon","WAS",34,"0",6.8,"LB","LB",-3.467,-2.6
2020,"YTD",12244,"Hager, Bryce","NYJ",33,"1",3.3,"LB","LB",-8.085,-5.767
2020,"YTD",13812,"Hamilton, Shaun Dion","DET",33,"1",2.357,"LB","LB",-9.028,-6.71
2021,"YTD",14925,"Uche, Josh","NEP",33,"1",3,"LB","LB",-7.267,-6.4
2021,"YTD",12326,"Mayo, David","WAS",32,"1",2.133,"LB","LB",-8.134,-7.267
2018,"YTD",7827,"Johnson, Derrick","FA",31,"1",5.167,"LB","LB",-4.833,-4.145
2019,"YTD",10772,"Burfict, Vontaze","OAK",31,"1",7.75,"LB","LB",-2.125,-1.438
2020,"YTD",9866,"Lee, Sean","DAL",31,"1",3.444,"LB","LB",-7.941,-5.623
2021,"YTD",13923,"Adeniyi, Ola","TEN",31,"1",2.067,"LB","LB",-8.2,-7.333
2021,"YTD",13681,"Chubb, Bradley","DEN",31,"1",4.429,"DL","LB",-5.838,-3.509
2017,"YTD",9446,"Cushing, Brian","HOU",30,"1",6,"LB","LB",-3.688,-5.385
2018,"YTD",9494,"Barwin, Connor","NYG",30,"1",1.875,"LB","LB",-8.125,-7.437
2020,"YTD",14894,"Jennings, Anfernee","NEP",30,"1",2.143,"LB","LB",-9.242,-6.924
2021,"YTD",15019,"Garvin, Jonathan","GBP",30,"1",2,"LB","LB",-8.267,-7.4
2018,"YTD",12563,"Longacre, Matt","LAR",29.9,"1",2.3,"LB","LB",-7.7,-7.012
2017,"YTD",7231,"Harrison, James","NEP",29,"1",4.833,"LB","LB",-4.855,-6.552
2021,"YTD",10402,"McPhee, Pernell","BAL",29,"1",3.222,"LB","LB",-7.045,-6.178
2021,"YTD",14891,"Harrison, Malik","BAL",29,"1",2.231,"LB","LB",-8.036,-7.169
2021,"YTD",13220,"Riley, Duke","MIA",29,"1",1.933,"LB","LB",-8.334,-7.467
2021,"YTD",13888,"Gardeck, Dennis","ARI",28,"1",2.154,"LB","LB",-8.113,-7.246
2021,"YTD",12778,"Kwiatkoski, Nick","LVR",27.3,"1",3.413,"LB","LB",-6.854,-5.987
