"key","factor_pos","factor_tier"
"mfl_DL_1",0.582244655581948,1
"mfl_LB_1",1,1
"true_DL_1",0.668052256532066,1
"true_LB_1",1,1
"mfl_DL_2",0.556440903054449,0.854665986741458
"mfl_LB_2",1,0.894299287410926
"true_DL_2",0.625166002656042,0.836888888888889
"true_LB_2",1,0.894299287410926
"mfl_DL_3",0.551646706586826,0.751657317695054
"mfl_LB_3",1,0.793349168646081
"true_DL_3",0.649849397590361,0.767111111111111
"true_LB_3",1,0.788598574821853
"mfl_DL_4",0.536397058823529,0.669607343192249
"mfl_LB_4",1,0.726840855106888
"true_DL_4",0.6578073089701,0.704
"true_LB_4",1,0.714964370546318
"mfl_DL_5",0.521322889469104,0.610912799592045
"mfl_LB_5",1,0.682304038004751
"true_DL_5",0.629430237774787,0.623555555555556
"true_LB_5",1,0.661817102137767
"mfl_DL_6",0.676115727697798,0.185794906685591
"mfl_LB_6",1,0.159999371439536
"true_DL_6",0.961634263678411,0.188292633253779
"true_LB_6",1,0.130807858335233
