"player_id","player_name","starter","points","ppg_avg","vbd_mfl_total","vbd_mfl_avg","vbd_true_total","vbd_true_avg","true_position","mfl_position","tier_mfl","tier_true"
15565,"Hoecht, Michael",0,8,0.533,-6.029,-6.029,-7.405,-7.405,"DL","DL",6,6
15568,"Chachere, Andre",0,8,0.615,-9.885,-9.885,-9.885,-9.885,"DB","DB",6,6
13546,"Griffin, Garrett",0,7.9,0.6525,-13.074,-13.074,-13.074,-13.074,"TE","TE",6,6
11951,"Snead, Willie",0,7.8,4.81,-9.327,-9.327,-9.327,-9.327,"WR","WR",6,6
11854,"Gilbert, Garrett",0,7.76,6.205,-8.529,-8.529,-8.529,-8.529,"QB","QB",6,6
13868,"Boone, Mike",0,7.7,1.5095,-7.906,-7.906,-7.906,-7.906,"RB","RB",6,6
14357,"Blanton, Kendall",0,7.7,0.963,-12.719,-12.719,-12.719,-12.719,"TE","TE",6,6
14108,"Dortch, Greg",0,7.55,1.9365,-8.306,-8.306,-8.306,-8.306,"WR","WR",6,6
14996,"Davis, Tyler",0,7.5,0.2885,-13.105,-13.105,-13.105,-13.105,"TE","TE",6,6
15529,"Winston, Easop",0,7.45,2.483,-7.711,-7.711,-7.711,-7.711,"WR","WR",6,6
13851,"Hollister, Cody",0,7.3,1.39766666666667,-7.761,-7.761,-7.761,-7.761,"WR","WR",6,6
14117,"Johnson, Tyron",0,7.08,3.8445,-9.407,-9.407,-9.407,-9.407,"WR","WR",6,6
9875,"Alualu, Tyson",0,7,3.9392,-4.229,-4.229,-5.605,-5.605,"DL","DL",6,6
11000,"Stanford, Julian",0,7,0.8434,-9.829,-9.829,-8.962,-8.962,"LB","LB",6,6
11501,"Robey, Nickell",0,7,6.0692,-3.5,-3.5,-3.5,-3.5,"DB","DB",6,6
13100,"Woods, Antwaun",0,7,2.78225,-5.562,-5.562,-6.938,-6.938,"DL","DL",6,6
13701,"O'Daniel, Dorian",0,7,1.15725,-9.829,-9.829,-8.962,-8.962,"LB","LB",6,6
14176,"Winovich, Chase",0,7,3.715,-9.684,-9.684,-8.817,-8.817,"LB","LB",6,6
14214,"Layne, Justin",0,7,0.5,-10.062,-10.062,-10.062,-10.062,"DB","DB",6,6
14230,"Redwine, Sheldrick",0,7,3.13366666666667,-9.333,-9.333,-9.333,-9.333,"DB","DB",6,6
14495,"Gifford, Luke",0,7,0.155666666666667,-9.8,-9.8,-8.933,-8.933,"LB","LB",6,6
14579,"Orr, Kareem",0,7,4.11666666666667,-8.75,-8.75,-8.75,-8.75,"DB","DB",6,6
15209,"Chesley, Anthony",0,7,0.5,-9.5,-9.5,-9.5,-9.5,"DB","DB",6,6
15449,"Britt, K.J.",0,7,0.438,-9.829,-9.829,-8.962,-8.962,"LB","LB",6,6
15498,"Stuard, Grant",0,7,0.438,-9.829,-9.829,-8.962,-8.962,"LB","LB",6,6
15622,"Robinson, Curtis",0,7,2.333,-7.934,-7.934,-7.067,-7.067,"LB","LB",6,6
11448,"Harris, Demetrius",0,6.78,2.1278,-13.198,-13.198,-13.198,-13.198,"TE","TE",6,6
14486,"Montgomery, D.J.",0,6.6,2.2,-7.994,-7.994,-7.994,-7.994,"WR","WR",6,6
14231,"Wesco, Trevon",0,6.5,0.366,-13.14,-13.14,-13.14,-13.14,"TE","TE",6,6
14342,"Blake, Christian",0,6.5,1.55666666666667,-9.73,-9.73,-9.73,-9.73,"WR","WR",6,6
12845,"Washington, Dwayne",0,6.48,0.8296,-8.508,-8.508,-8.508,-8.508,"RB","RB",6,6
13503,"Kemp, Marcus",0,6.4,0.181,-9.767,-9.767,-9.767,-9.767,"WR","WR",6,6
13621,"Ballage, Kalen",0,6.4,4.13575,-8.606,-8.606,-8.606,-8.606,"RB","RB",6,6
15604,"Zylstra, Shane",0,6.4,1.6,-12.082,-12.082,-12.082,-12.082,"TE","TE",6,6
14142,"Smith, Kaden",0,6.3,3.693,-12.982,-12.982,-12.982,-12.982,"TE","TE",6,6
15541,"Stoll, Jack",0,6.2,0.388,-13.294,-13.294,-13.294,-13.294,"TE","TE",6,6
15544,"Hudson, Tommy",0,6.1,1.22,-12.462,-12.462,-12.462,-12.462,"TE","TE",6,6
10280,"Kerrigan, Ryan",0,6,5.5258,-6.162,-6.162,-7.538,-7.538,"DL","DL",6,6
11805,"Pierre-Louis, Kevin",0,6,3.9408,-9.517,-9.517,-8.65,-8.65,"LB","LB",6,6
12288,"Anderson, Henry",0,6,4.0852,-5.062,-5.062,-6.438,-6.438,"DL","DL",6,6
12327,"Smith, Tye",0,6,3.11133333333333,-9,-9,-9,-9,"DB","DB",6,6
13327,"Evans, Jordan",0,6,3.126,-9.267,-9.267,-8.4,-8.4,"LB","LB",6,6
13553,"McTyer, Torry",0,6,2.011,-9,-9,-9,-9,"DB","DB",6,6
14228,"Sheffield, Kendall",0,6,4.507,-9.75,-9.75,-9.75,-9.75,"DB","DB",6,6
14452,"Lammons, Chris",0,6,1.4775,-10,-10,-10,-10,"DB","DB",6,6
14953,"Dye, Troy",0,6,2.1875,-9.892,-9.892,-9.025,-9.025,"LB","LB",6,6
15063,"Harris, De'Jon",0,6,0.75,-8.767,-8.767,-7.9,-7.9,"LB","LB",6,6
15469,"Hamlin, Damar",0,6,0.462,-10.038,-10.038,-10.038,-10.038,"DB","DB",6,6
15471,"Breeze, Brady",0,6,0.75,-9.75,-9.75,-9.75,-9.75,"DB","DB",6,6
15555,"Mintze, Andre",0,6,1,-9.267,-9.267,-8.4,-8.4,"LB","LB",6,6
15559,"Williams, Jonah",0,6,0.75,-5.812,-5.812,-7.188,-7.188,"DL","DL",6,6
15580,"Patrick, Aaron",0,6,0.545,-6.017,-6.017,-7.393,-7.393,"DL","DL",6,6
15601,"Merrill, Forrest",0,6,1.5,-5.062,-5.062,-6.438,-6.438,"DL","DL",6,6
15651,"Davis, Javaris",0,6,6,-4.5,-4.5,-4.5,-4.5,"DB","DB",6,6
15678,"Hoyett, Braxton",0,6,6,-0.562,-0.562,-1.938,-1.938,"DL","DL",6,6
