"player_id","player_name","starter","points","ppg","vbd_mfl_total","vbd_mfl_avg","vbd_true_total","vbd_true_avg","true_position","mfl_position","tier_mfl","tier_true"
14933,"Blackmon, Julian",1,100,7.146,-8.494,-4.247,-8.494,-4.247,"DB","DB",6,6
13809,"Gage, Russell",0,99.5,9.368,-4.678,-1.55933333333333,-4.678,-1.55933333333333,"WR","WR",6,6
12506,"Callahan, Bryce",1,99.4,7.92,-6.946,-3.473,-6.946,-3.473,"DB","DB",6,6
15293,"Bateman, Rashod",0,99.3,9.027,-1.167,-1.167,-1.167,-1.167,"WR","WR",6,6
10335,"Casey, Jurrell",0,99,8.0355,1.488,0.744,-0.429,-0.2145,"DL","DL",5,6
11346,"Hayden, D.J.",0,99,4.53333333333333,-19.311,-6.437,-19.311,-6.437,"DB","DB",6,6
12781,"Burris, Juston",1,99,6.21833333333333,-14.256,-4.752,-14.256,-4.752,"DB","DB",6,6
12854,"Walker, Joe",0,99,2.47666666666667,-24.097,-8.03233333333333,-20.225,-6.74166666666667,"LB","LB",6,6
12998,"Adams, Andrew",0,99,3.40833333333333,-22.686,-7.562,-22.686,-7.562,"DB","DB",6,6
13285,"Biegel, Vince",0,99,3.4,-13.342,-6.671,-11.788,-5.894,"LB","LB",6,6
13790,"Phillips, Darius",1,99,5.64733333333333,-15.969,-5.323,-15.969,-5.323,"DB","DB",6,6
14947,"Wonnum, D.J.",1,99,5.201,-3.493,-1.7465,-5.161,-2.5805,"DL","DL",5,6
15546,"Parker, AJ",0,99,7.615,-2.885,-2.885,-2.885,-2.885,"DB","DB",6,6
14842,"Pittman, Michael",0,98.9,10.623,-0.442000000000001,-0.221000000000001,-0.442000000000001,-0.221000000000001,"WR","WR",6,6
10554,"Addison, Mario",0,98,5.26666666666667,-5.345,-1.78166666666667,-8.638,-2.87933333333333,"DL","DL",5,6
10823,"Hicks, Akiem",1,98,6.12566666666667,-2.768,-0.922666666666667,-6.061,-2.02033333333333,"DL","DL",5,6
11399,"Griffin, Ryan",0,98,4.45933333333333,-19.245,-6.415,-19.245,-6.415,"TE","TE",3,3
11724,"Jones, Christian",0,98,4.742,-17.301,-5.767,-13.429,-4.47633333333333,"LB","LB",6,6
13228,"Hooker, Malik",2,98,6.346,-13.873,-4.62433333333333,-13.873,-4.62433333333333,"DB","DB",6,6
13719,"Pineiro, Eddy",0,98,7.1625,-2.42,-1.21,-2.42,-1.21,"PK","PK",3,3
15349,"Phillips, Jaelan",0,98,6.125,-4.142,-4.142,-1.813,-1.813,"DL","LB",6,6
13418,"Bourne, Kendrick",0,97.8,8.57166666666667,-7.067,-2.35566666666667,-7.067,-2.35566666666667,"WR","WR",6,6
14085,"Pollard, Tony",0,97.55,9.10233333333333,-1.402,-0.467333333333334,-1.402,-0.467333333333334,"RB","RB",6,6
