"franchise_id","season","unit","grouping","personnel","grouping_order","xmax","xmin","ymin","ymax","xcenter","ycenter","position","count","x","xoffset","y","yoffset","is_to_big","A","is_biggest"
"0007",2016,"defense","234","02331",3,0.583333333333333,0,0.714285714285714,1,0.291666666666667,0.857142857142857,"LB",3,0.371666666666667,0.226666666666667,0.857142857142857,0.817142857142857,7,0.166666666666667,0
"0007",2016,"defense","234","02331",3,0.583333333333333,0,0.714285714285714,1,0.291666666666667,0.857142857142857,"LB",3,0.451666666666667,0.306666666666667,0.857142857142857,0.817142857142857,7,0.166666666666667,0
"0007",2016,"defense","234","02331",3,0.583333333333333,0,0.714285714285714,1,0.291666666666667,0.857142857142857,"LB",3,0.531666666666667,0.386666666666667,0.857142857142857,0.817142857142857,7,0.166666666666667,0
"0007",2016,"defense","234","02331",3,0.583333333333333,0,0.714285714285714,1,0.291666666666667,0.857142857142857,"S",1,0.371666666666667,0.306666666666667,1.01714285714286,0.977142857142857,7,0.166666666666667,0
"0007",2019,"defense","243","02403",2,0.75,0,0,1,0.375,0.5,"DE",2,0.455,0.35,0.42,0.38,0,0.75,0
"0007",2019,"defense","243","02403",2,0.75,0,0,1,0.375,0.5,"DE",2,0.535,0.43,0.42,0.38,0,0.75,0
"0007",2019,"defense","243","02403",2,0.75,0,0,1,0.375,0.5,"LB",4,0.455,0.27,0.5,0.46,0,0.75,0
"0007",2019,"defense","243","02403",2,0.75,0,0,1,0.375,0.5,"LB",4,0.535,0.35,0.5,0.46,0,0.75,0
"0007",2019,"defense","243","02403",2,0.75,0,0,1,0.375,0.5,"LB",4,0.615,0.43,0.5,0.46,0,0.75,0
"0007",2019,"defense","243","02403",2,0.75,0,0,1,0.375,0.5,"LB",4,0.695,0.51,0.5,0.46,0,0.75,0
"0007",2019,"defense","243","02403",2,0.75,0,0,1,0.375,0.5,"S",3,0.455,0.31,0.66,0.62,0,0.75,0
"0007",2019,"defense","243","02403",2,0.75,0,0,1,0.375,0.5,"S",3,0.535,0.39,0.66,0.62,0,0.75,0
"0007",2019,"defense","243","02403",2,0.75,0,0,1,0.375,0.5,"S",3,0.615,0.47,0.66,0.62,0,0.75,0
"0007",2016,"defense","243","02412",2,1,0.583333333333333,0,0.4,0.791666666666667,0.2,"CB",1,0.871666666666667,0.806666666666667,0.28,0.24,6,0.166666666666667,0
"0007",2016,"defense","243","02412",2,1,0.583333333333333,0,0.4,0.791666666666667,0.2,"DE",2,0.871666666666667,0.766666666666667,0.12,0.08,6,0.166666666666667,0
