"player_id"; "player_name"; "pos"; "points"; "war"
5848; "Brady, Tom"; "QB"; 193.58; 0.23
7836; "Rodgers, Aaron"; "QB"; 200.26; 0.33
8742; "Crosby, Mason"; "PK"; 34.1; -0.01
8851; "Folk, Nick"; "PK"; 47.3; 0.01
8930; "Prater, Matt"; "PK"; 25.8; -0.02
9051; "Campbell, Calais"; "DL"; 76; 0.05
9064; "Flacco, Joe"; "QB"; 50.64; 0.05
9099; "Ryan, Matt"; "QB"; 162; 0.07
9431; "Stafford, Matthew"; "QB"; 119.38; -0.01
9686; "Succop, Ryan"; "PK"; 103.2; 0.11
9694; "Gano, Graham"; "PK"; 110.75; 0.17
9846; "McCourty, Devin"; "DB"; 75; 0
9853; "Hughes, Jerry"; "DL"; 62; -0.02
9861; "Jackson, Kareem"; "DB"; 108; -0.04
9875; "Alualu, Tyson"; "DL"; 1; -0.07
9899; "McCoy, Colt"; "QB"; 13.92; 0.01
10261; "Green, A.J."; "WR"; 38.1; -0.12
10266; "Heyward, Cameron"; "DL"; 102; 0.22
10267; "Miller, Von"; "DL"; 78; 0.06
10269; "Quinn, Robert"; "DL"; 22; -0.17
10271; "Jones, Julio"; "WR"; 56.8; 0.04
10272; "Watt, J.J."; "DL"; 76; 0.05
10276; "Ingram, Mark"; "RB"; 52.1; -0.03
10277; "Houston, Justin"; "DL"; 7; -0.06
10292; "Jordan, Cameron"; "DL"; 98; 0.19
10308; "Cobb, Randall"; "WR"; 67.9; 0.03
10313; "Dalton, Andy"; "QB"; 134.74; 0.05
10653; "Bynes, Josh"; "LB"; 60; 0.01
10697; "Tannehill, Ryan"; "QB"; 137.78; 0.01
10700; "Cousins, Kirk"; "QB"; 200.12; 0.27
10703; "Wilson, Russell"; "QB"; 151.22; 0.01
10738; "Jones, Marvin"; "WR"; 82.5; 0.05
10749; "Ingram, Melvin"; "DL"; 22; -0.07
10753; "Jones, Chandler"; "DL"; 66; -0.04
10762; "Cox, Fletcher"; "DL"; 74; 0.01
10768; "David, Lavonte"; "LB"; 163; 0.46
10775; "Wagner, Bobby"; "LB"; 184; 0.62
10783; "Smith, Harrison"; "DB"; 174; 0.37
10816; "Davis, Demario"; "LB"; 167; 0.8
10862; "Bullock, Randy"; "PK"; 10.1; -0.03
10868; "Zuerlein, Greg"; "PK"; 90.7; 0.1
10976; "Tucker, Justin"; "PK"; 118.25; 0.22
11150; "Smith, Geno"; "QB"; 235.06; 0.53
11222; "Allen, Keenan"; "WR"; 63.8; 0.12
11225; "Patterson, Cordarrelle"; "RB"; 117.14; 0.24
11228; "Woods, Robert"; "WR"; 77.3; -0.02
11232; "Hopkins, DeAndre"; "WR"; 124.4; 0.31
11244; "Kelce, Travis"; "TE"; 247.3; 1.33
11247; "Ertz, Zach"; "TE"; 115.6; 0.28
