"player_id"; "player_name"; "pos"; "points"; "war"
14803; "Edwards-Helaire, Clyde"; "RB"; 81.3; 0.12
14805; "Dillon, AJ"; "RB"; 130.4; 0.34
14810; "Vaughn, Ke'Shawn"; "RB"; 3.55; -0.15
14811; "Ahmed, Salvon"; "RB"; 38.6; -0.3
14813; "Robinson, James"; "RB"; 156.7; 0.42
14815; "Dallas, DeeJay"; "RB"; 54.18; -0.19
14821; "Hasty, JaMycal"; "RB"; 33.59; -0.03
14832; "Lamb, CeeDee"; "WR"; 186.6; 0.55
14833; "Jeudy, Jerry"; "WR"; 61.3; 0.06
14834; "Ruggs, Henry"; "WR"; 86.6; 0.12
14835; "Higgins, Tee"; "WR"; 146.8; 0.31
14836; "Jefferson, Justin"; "WR"; 242.7; 1.11
14838; "Shenault, Laviska"; "WR"; 97.2; 0.06
14839; "Reagor, Jalen"; "WR"; 76.35; -0.26
14840; "Aiyuk, Brandon"; "WR"; 112.1; 0.16
14841; "Claypool, Chase"; "WR"; 116.4; 0.18
14842; "Pittman, Michael"; "WR"; 189.3; 1.23
14844; "Edwards, Bryan"; "WR"; 84.6; -0.03
14845; "Davis, Gabriel"; "WR"; 71.2; -0.12
14852; "Gibson, Antonio"; "RB"; 173.6; 0.65
14857; "Peoples-Jones, Donovan"; "WR"; 69; 0.01
14858; "Jefferson, Van"; "WR"; 131.1; 0.3
14867; "Kmet, Cole"; "TE"; 80.2; 0.07
14870; "Trautman, Adam"; "TE"; 54.1; -0.02
14873; "Okwuegbunam, Albert"; "TE"; 50.6; -0.01
14875; "Bryant, Harrison"; "TE"; 37.1; -0.24
14877; "Young, Chase"; "DL"; 57; -0.01
14882; "Greenard, Jonathan"; "DL"; 50; 0.08
14887; "Simmons, Isaiah"; "LB"; 152; 0.42
14888; "Chaisson, K'Lavon"; "DL"; 43; -0.21
14889; "Murray, Kenneth"; "LB"; 39; -0.05
14892; "Brooks, Jordyn"; "LB"; 206; 0.82
14893; "Baun, Zack"; "LB"; 25; -0.46
14896; "Queen, Patrick"; "LB"; 131; 0.27
14902; "Okudah, Jeff"; "DB"; 9; 0.01
14903; "Diggs, Trevon"; "DB"; 103.45; 0.11
14908; "McKinney, Xavier"; "DB"; 154; 0.39
14909; "Winfield, Antoine"; "DB"; 140; 0.25
14910; "Jones, Brandon"; "DB"; 103; 0.06
14911; "Davis, Ashtyn"; "DB"; 100; 0.1
14912; "Blankenship, Rodrigo"; "PK"; 44.95; 0.05
14918; "Terrell, A.J."; "DB"; 13; 0.06
14921; "Dugger, Kyle"; "DB"; 152; 0.38
14923; "Taylor, Darrell"; "DL"; 61; -0.03
14926; "Gay, Willie"; "LB"; 66; 0.01
14927; "Chinn, Jeremy"; "DB"; 147; 0.34
