"player_id" "player_name" "pos" "points" "war"
13634 "Pettis, Dante" "WR" 42.85 -0.06
13635 "Moore, D.J." "WR" 122.57 0.29
13639 "Miller, Anthony" "WR" 101.04 0.14
13640 "Callaway, Antonio" "WR" 91.99 0.07
13645 "Smith, Tre'Quan" "WR" 83.1 0.05
13648 "Burnett, Deontay" "WR" 0 -0.09
13662 "Coutee, Keke" "WR" 62.7 0.07
13668 "Chark, D.J." "WR" 34.38 -0.19
13671 "Andrews, Mark" "TE" 68.7 0.02
13672 "Gesicki, Mike" "TE" 32.6 -0.23
13674 "Goedert, Dallas" "TE" 61.1 -0.03
13679 "Herndon, Chris" "TE" 75.4 0.07
13680 "Hurst, Hayden" "TE" 21.2 -0.08
13681 "Chubb, Bradley" "LB" 109 0.16
13682 "Key, Arden" "DL" 25 -0.09
13683 "Hand, Da'Shawn" "DL" 15 -0.06
13684 "Hubbard, Sam" "DL" 75 0.15
13692 "Vea, Vita" "DL" 21 -0.07
13696 "Smith, Roquan" "LB" 162 0.54
13697 "Edmunds, Tremaine" "LB" 160 0.43
13702 "Jewell, Josey" "LB" 55 -0.21
13703 "Carter, Lorenzo" "LB" 58 -0.19
13705 "Griffin, Shaquem" "LB" 6 -0.53
13706 "Baker, Jerome" "LB" 113 0.19
13707 "Ward, Denzel" "DB" 126 0.19
13713 "Fitzpatrick, Minkah" "DB" 96 -0.02
13714 "James, Derwin" "DB" 172.6 0.53
13715 "Harrison, Ronnie" "DB" 43 -0.4
13716 "Edmunds, Terrell" "DB" 91 -0.06
13717 "Reid, Justin" "DB" 130 0.22
13723 "Payne, Da'Ron" "DL" 84 0.21
13727 "Vander Esch, Leighton" "LB" 183 0.69
13730 "Alexander, Jaire" "DB" 72 0.11
13733 "Leonard, Darius" "LB" 243 0.87
13737 "Bates, Jessie" "DB" 170 0.51
13738 "Jackson, Donte" "DB" 85 0.02
13742 "Hill, B.J." "DL" 46 0.06
13743 "Warner, Fred" "LB" 164 0.56
13746 "Green, Rasheem" "DL" 17 -0.07
13750 "Burks, Oren" "LB" 25 -0.19
13753 "Akins, Jordan" "TE" 17.9 -0.15
13762 "White, Kyzir" "LB" 36 0.07
13764 "Johnson, Taron" "DB" 32 -0.05
13765 "Young, Kenny" "LB" 86 0
13768 "Smith, Ito" "RB" 78.2 -0.01
13775 "Bentley, Ja'Whaun" "LB" 27 0.02
13779 "Kiser, Micah" "LB" 0 -0.09
13781 "Avery, Genard" "LB" 61 -0.17
13793 "Valdes-Scantling, Marquez" "WR" 78.3 0.02
13813 "Oluokun, Foyesade" "LB" 91 0.09
13850 "Edwards, Gus" "RB" 11.8 0.05
13853 "Moore, Skai" "LB" 4 -0.05
13880 "Arnold, Dan" "TE" 14.5 0.11
13909 "Maher, Brett" "PK" 34.15 -0.01
13915 "Calitro, Austin" "LB" 4 -0.15
13968 "Mullens, Nick" "QB" 45.02 -0.03
13980 "Badgley, Mike" "PK" 9.1 0.02
