"player_id" "player_name" "pos" "points" "war"
10610 "Parker, Ron" "DB" 109 0.1
10653 "Bynes, Josh" "LB" 154 0.48
10695 "Luck, Andrew" "QB" 252.48 0.49
10697 "Tannehill, Ryan" "QB" 89.54 -0.04
10699 "Foles, Nick" "QB" 16.66 0
10700 "Cousins, Kirk" "QB" 229.76 0.33
10702 "Osweiler, Brock" "QB" 26.4 -0.05
10703 "Wilson, Russell" "QB" 217.24 0.24
10708 "Miller, Lamar" "RB" 130.5 0.26
10709 "Martin, Doug" "RB" 67.4 -0.14
10722 "Jeffery, Alshon" "WR" 110.1 0.2
10723 "Sanu, Mohamed" "WR" 115.8 0.24
10729 "Hilton, T.Y." "WR" 152.1 0.37
10734 "Wright, Jarius" "WR" 40.6 -0.11
10737 "Benjamin, Travis" "WR" 14.6 -0.13
10738 "Jones, Marvin" "WR" 115.8 0.21
10749 "Ingram, Melvin" "DL" 87 0.23
10750 "Perry, Nick" "LB" 38 -0.09
10753 "Jones, Chandler" "DL" 126 0.51
10762 "Cox, Fletcher" "DL" 73 0.13
10763 "Brockers, Michael" "DL" 66 0.08
10766 "Irvin, Bruce" "DL" 31 -0.03
10768 "David, Lavonte" "LB" 137 0.29
10770 "Brown, Zach" "LB" 121 0.25
10772 "Burfict, Vontaze" "LB" 48 0.03
10773 "Kuechly, Luke" "LB" 179 0.67
10775 "Wagner, Bobby" "LB" 159 0.42
10779 "Jenkins, Janoris" "DB" 121 0.16
10782 "Barron, Mark" "LB" 67 0.05
10783 "Smith, Harrison" "DB" 150 0.37
10789 "Gilmore, Stephon" "DB" 92 0.01
10793 "Hayward, Casey" "DB" 12 -0.04
10808 "Wilson, Tavon" "DB" 36.7 -0.14
10810 "Johnson, Trumaine" "DB" 38 0.01
10816 "Davis, Demario" "LB" 150 0.46
10823 "Hicks, Akiem" "DL" 92 0.27
10827 "Bradham, Nigel" "LB" 123 0.23
10838 "Ellison, Rhett" "TE" 14.7 -0.04
10841 "Daniels, Mike" "DL" 38 -0.06
10846 "Jackson, Malik" "DL" 50 -0.03
10847 "Whitehead, Tahir" "LB" 152 0.47
10850 "Marshall, Brandon" "LB" 52 -0.04
10862 "Bullock, Randy" "PK" 63.05 -0.13
10868 "Zuerlein, Greg" "PK" 72.55 0.08
10879 "Trevathan, Danny" "LB" 153 0.48
10948 "Keenum, Case" "QB" 162.28 -0.16
10960 "Gordon, Josh" "WR" 106.4 0.17
10973 "Beasley, Cole" "WR" 105.1 0.16
10976 "Tucker, Justin" "PK" 103.2 0.16
10983 "Hogan, Chris" "WR" 75 -0.04
11010 "Gipson, Tashaun" "DB" 92 -0.05
11017 "McLeod, Rodney" "DB" 25 -0.01
11045 "Harrison, Damon" "DL" 109 0.65
11076 "Kearse, Jermaine" "WR" 65.7 -0.04
11182 "Burkhead, Rex" "RB" 14.7 -0.05
11186 "Thompson, Chris" "RB" 66.2 0.1
11188 "Riddick, Theo" "RB" 83.4 0.05
11193 "Bernard, Giovani" "RB" 71.35 0.06
11199 "Ware, Spencer" "RB" 49.2 -0.27
11211 "Williams, Terrance" "WR" 3.8 -0.09
11222 "Allen, Keenan" "WR" 185.05 0.74
11225 "Patterson, Cordarrelle" "WR" 79.35 -0.01
11227 "Stills, Kenny" "WR" 79.2 0.03
11228 "Woods, Robert" "WR" 184.5 0.73
11232 "Hopkins, DeAndre" "WR" 222.7 1.01
11239 "Goodwin, Marquise" "WR" 75.8 0.06
11244 "Kelce, Travis" "TE" 200.4 0.97
11247 "Ertz, Zach" "TE" 209.5 1.03
11248 "Reed, Jordan" "TE" 114.7 0.35
11250 "Eifert, Tyler" "TE" 38.9 0.07
11257 "McDonald, Vance" "TE" 97.4 0.2
11262 "Okafor, Alex" "DL" 53 -0.01
11267 "Ansah, Ezekiel" "DL" 33 0.03
11274 "Hunt, Margus" "DL" 25 -0.04
11283 "Richardson, Sheldon" "DL" 32 -0.01
11293 "Ogletree, Alec" "LB" 138 0.31
11295 "Mingo, Barkevious" "LB" 57 -0.11
11299 "Bostic, Jon" "LB" 122 0.25
11308 "Alonso, Kiko" "LB" 191 0.75
11313 "Mathieu, Tyrann" "DB" 154 0.4
11316 "Ryan, Logan" "DB" 122 0.16
11317 "Poyer, Jordan" "DB" 133 0.24
11318 "Taylor, Jamar" "DB" 34 -0.29
11323 "Reid, Eric" "DB" 96 0.09
11324 "Vaccaro, Kenny" "DB" 84 0.05
11327 "Jefferson, Tony" "DB" 126 0.19
11330 "Williams, Shawn" "DB" 128 0.21
11333 "Short, Kawann" "DL" 70 0.11
11339 "Tavecchio, Giorgio" "PK" 5 -0.03
11348 "Slay, Darius" "DB" 85 -0.03
11349 "Collins, Jamie" "LB" 150 0.46
11350 "Swearinger, D.J." "DB" 125 0.19
11367 "Juszczyk, Kyle" "RB" 56.6 -0.22
11375 "Klein, A.J." "LB" 91 0.04
11382 "Hyde, Micah" "DB" 73.55 -0.09
11384 "Sturgis, Caleb" "PK" 18.4 -0.02
11387 "Hopkins, Dustin" "PK" 31.75 -0.02
11390 "Murray, Latavius" "RB" 108.7 0.14
11399 "Griffin, Ryan" "TE" 33.1 -0.09
11403 "Williams, Vince" "LB" 132 0.28
11454 "Anderson, C.J." "RB" 19.8 -0.16
11487 "Armstrong, Ray-Ray" "LB" 30 -0.24
11498 "Addae, Jahleel" "DB" 105 0.04
11512 "Bouye, A.J." "DB" 88 0.03
11516 "Doyle, Jack" "TE" 61.5 0.1
11517 "McDougald, Bradley" "DB" 140 0.3
11529 "Hill, Josh" "TE" 0 -0.08
11642 "Bortles, Blake" "QB" 179.38 -0.03
11644 "Carr, Derek" "QB" 165.38 -0.13
11657 "Hyde, Carlos" "RB" 86.4 0.03
11660 "Freeman, Devonta" "RB" 14.1 -0.01
11668 "Crowell, Isaiah" "RB" 124.3 0.25
11670 "Watkins, Sammy" "WR" 115.1 0.21
11671 "Evans, Mike" "WR" 204.3 0.88
11674 "Cooks, Brandin" "WR" 183.5 0.72
11675 "Adams, Davante" "WR" 239.2 1.13
11677 "Moncrief, Donte" "WR" 102.7 0.15
11678 "Robinson, Allen" "WR" 109.4 0.18
11679 "Beckham, Odell" "WR" 215.36 0.96
11680 "Landry, Jarvis" "WR" 137.74 0.39
11681 "Richardson, Paul" "WR" 59.1 0.03
11688 "Bryant, Martavis" "WR" 46.9 -0.05
11689 "Ellington, Bruce" "WR" 43.4 0.02
11695 "Ebron, Eric" "TE" 166.9 0.73
11697 "Seferian-Jenkins, Austin" "TE" 26 -0.02
11705 "Burton, Trey" "TE" 114 0.34
11706 "Clowney, Jadeveon" "LB" 97 0.1
11709 "Murphy, Trent" "DL" 39 0.03
11711 "Ford, Dee" "LB" 62 0.06
11721 "Mack, Khalil" "LB" 120 0.22
11723 "Van Noy, Kyle" "LB" 139 0.38
11724 "Jones, Christian" "LB" 84 -0.01
11728 "Mosley, C.J." "LB" 126 0.25
11740 "Clinton-Dix, Ha Ha" "DB" 143 0.32
11742 "Joyner, Lamarcus" "DB" 111 0.09
11747 "White, James" "RB" 214 0.9
11757 "Donald, Aaron" "DL" 138 0.6
11760 "Garoppolo, Jimmy" "QB" 51.02 0
11767 "Bucannon, Deone" "LB" 37 -0.2
11769 "Lawrence, Demarcus" "DL" 125 0.51
11772 "Kirksey, Christian" "LB" 93 0.14
11775 "Brown, Preston" "LB" 85 0.11
11783 "Brown, John" "WR" 125.3 0.31
11795 "Hitchens, Anthony" "LB" 144 0.34
11802 "Boston, Tre" "DB" 132 0.22
11812 "Grant, Ryan" "WR" 65.4 -0.01
11813 "Smith, Telvin" "LB" 168 0.59
11814 "Allen, Ricardo" "DB" 41 0.07
11816 "Williamson, Avery" "LB" 181 0.68
11830 "Kennard, Devon" "LB" 79 0.01
11834 "Blue, Alfred" "RB" 68.29 -0.14
11850 "Enunwa, Quincy" "WR" 79.8 0.06
11883 "Mitchell, Terrance" "DB" 23 0.04
11890 "Wilson, Albert" "WR" 96.78 0.17
11895 "Bibbs, Kapri" "RB" 51.81 -0.02
11936 "Boswell, Chris" "PK" 51.2 -0.07
11938 "Thielen, Adam" "WR" 257.8 1.26
11947 "McManus, Brandon" "PK" 84.15 0.02
11951 "Snead, Willie" "WR" 107.2 0.18
11965 "Butler, Malcolm" "DB" 44 -0.07
11966 "Parkey, Cody" "PK" 46.55 -0.02
11975 "Gabriel, Taylor" "WR" 121 0.28
12072 "Taylor, Adarius" "LB" 41 0.01
12087 "Davis, Todd" "LB" 166 0.57
12088 "Phillips, Adrian" "DB" 37 0
12110 "Brate, Cameron" "TE" 61.5 -0.03
12140 "Winston, Jameis" "QB" 116.58 0.06
12141 "Mariota, Marcus" "QB" 146.84 -0.11
12150 "Gurley, Todd" "RB" 298.4 1.5
12151 "Gordon, Melvin" "RB" 251.5 0.9
12152 "Coleman, Tevin" "RB" 148.4 0.42
12153 "Yeldon, T.J." "RB" 155.8 0.48
12154 "Ajayi, Jay" "RB" 44.4 0.05
12157 "Johnson, Duke" "RB" 104.1 0.11
12159 "Allen, Javorius" "RB" 94.6 0.04
12164 "Davis, Mike" "RB" 70.6 -0.01
12171 "Johnson, David" "RB" 181.7 0.67
12175 "Cooper, Amari" "WR" 131.8 0.3
12176 "Parker, DeVante" "WR" 40.5 -0.01
12181 "Agholor, Nelson" "WR" 103.5 0.15
12184 "Crowder, Jamison" "WR" 35.9 0.03
12186 "Diggs, Stefon" "WR" 200.8 0.66
12187 "Lockett, Tyler" "WR" 175.87 0.67
12188 "Dorsett, Phillip" "WR" 64.6 -0.11
12205 "Funchess, Devin" "WR" 110.6 0.19
12206 "Williams, Maxx" "TE" 14.5 -0.08
12208 "Heuerman, Jeff" "TE" 62.9 0.06
12211 "James, Jesse" "TE" 75.9 0.07
12215 "Gregory, Randy" "DL" 21 -0.03
12217 "Fowler, Dante" "DL" 49 0.02
12218 "Armstead, Arik" "DL" 19 0
12221 "Hunter, Danielle" "DL" 144 0.64
12222 "Flowers, Trey" "DL" 79 0.15
12225 "Williams, Leonard" "DL" 60 0.04
12230 "Beasley, Vic" "DL" 34 -0.15
12231 "Thompson, Shaq" "LB" 122 0.25
12233 "Alexander, Kwon" "LB" 93 0.17
12234 "Dupree, Bud" "LB" 86 0
12237 "Wilson, Ramik" "LB" 24 -0.14
12238 "Perryman, Denzel" "LB" 89 0.08
12239 "Kendricks, Eric" "LB" 140 0.38
12245 "Peters, Marcus" "DB" 63 -0.08
12248 "Waynes, Trae" "DB" 16 -0.01
12250 "Collins, Landon" "DB" 165 0.48
12257 "Conley, Chris" "WR" 58.6 -0.08
12268 "Jones, Byron" "DB" 45 -0.03
12269 "Randall, Damarious" "DB" 107 0.14
12270 "Smith, Preston" "LB" 89 0.02
12272 "McKinney, Benardrick" "LB" 144 0.41
12274 "Tartt, Jaquiski" "DB" 72 0.03
12276 "Darby, Ronald" "DB" 93 0.08
12278 "Golden, Markus" "DL" 55 0.06
12280 "Clark, Frank" "DL" 101 0.33
12287 "Hicks, Jordan" "LB" 166 0.46
12295 "Geathers, Clayton" "DB" 112 0.14
12301 "Smith, Za'Darius" "LB" 10 -0.07
12305 "Jarrett, Grady" "DL" 58 0.06
12308 "Amos, Adrian" "DB" 112 0.09
12317 "Uzomah, C.J." "TE" 49.3 0.03
12328 "Boyle, Nick" "TE" 30.5 -0.1
12349 "Diggs, Quandre" "DB" 95 0.03
12362 "Pullard, Hayes" "LB" 8 -0.1
12363 "Sterling, Neal" "TE" 3.3 -0.07
12367 "Murphy, Marcus" "RB" 42.07 -0.08
12378 "Swaim, Geoff" "TE" 56.2 0.01
12391 "Williams, Tyrell" "WR" 111.4 0.21
12402 "Grant, Corey" "RB" 19.88 -0.08
12417 "Lambo, Josh" "PK" 83.65 0.02
12437 "Myers, Jason" "PK" 39.4 0.01
12447 "Mostert, Raheem" "RB" 28.2 0.02
12448 "Dunbar, Quinton" "DB" 10 0.01
12465 "Meredith, Cameron" "WR" 25.4 -0.07
12505 "Humphries, Adam" "WR" 131.51 0.35
12536 "Irving, David" "DL" 11 0.01
12610 "Wentz, Carson" "QB" 166 0.07
12611 "Goff, Jared" "QB" 258.68 0.54
12620 "Prescott, Dak" "QB" 199.98 0.11
12625 "Elliott, Ezekiel" "RB" 237.7 1.07
12626 "Henry, Derrick" "RB" 84.02 -0.03
12628 "Collins, Alex" "RB" 111.6 0.16
12629 "Booker, Devontae" "RB" 62.03 -0.18
12630 "Drake, Kenyan" "RB" 149.6 0.43
12634 "Howard, Jordan" "RB" 106.8 0.13
12636 "Smallwood, Wendell" "RB" 80.99 -0.05
12637 "Barber, Peyton" "RB" 103.1 0.1
12645 "Treadwell, Laquon" "WR" 61.6 -0.13
12647 "Fuller, Will" "WR" 106.3 0.2
12648 "Doctson, Josh" "WR" 77.4 0.02
12650 "Boyd, Tyler" "WR" 183.4 0.72
12652 "Thomas, Michael" "WR" 240 1.13
12657 "Sharpe, Tajae" "WR" 61.5 -0.14
12658 "Shepard, Sterling" "WR" 132.51 0.36
12665 "Allison, Geronimo" "WR" 64.3 0.11
12677 "Hooper, Austin" "TE" 122.6 0.41
12680 "Vannett, Nick" "TE" 57.5 -0.01
12686 "Bosa, Joey" "DL" 18 0.06
12688 "Buckner, DeForest" "DL" 96 0.3
12691 "Ogbah, Emmanuel" "DL" 64 0.08
12696 "Nkemdiche, Robert" "DL" 74 0.14
12697 "Robinson, A'Shawn" "DL" 57 0.05
12698 "Reed, Jarran" "DL" 46 0.04
12701 "Smith, Jaylon" "LB" 159 0.52
12702 "Jack, Myles" "LB" 121 0.25
12703 "Ragland, Reggie" "LB" 89 0.02
12705 "Lee, Darron" "LB" 134 0.34
12711 "Ramsey, Jalen" "DB" 109 0.07
12714 "Fuller, Kendall" "DB" 23 -0.02
12715 "Apple, Eli" "DB" 128 0.2
12716 "Mills, Jalen" "DB" 94 0.09
12717 "Joseph, Karl" "DB" 46 -0.1
12718 "Bell, Vonn" "DB" 100 0.01
12734 "Floyd, Leonard" "LB" 73 -0.09
12735 "Rankins, Sheldon" "DL" 24 0.02
12736 "Neal, Keanu" "DB" 3 -0.08
12739 "Clark, Kenny" "DL" 118 0.46
12741 "Jones, Chris" "DL" 110 0.4
12745 "Jones, Deion" "LB" 21 0.17
12748 "Davis, Sean" "DB" 101 0.01
12750 "Bradberry, James" "DB" 119 0.14
12752 "Byard, Kevin" "DB" 117.64 0.13
12756 "Ngakoue, Yannick" "DL" 53 -0.01
12760 "Worley, Daryl" "DB" 62 0
12762 "Vigil, Nick" "LB" 96 0.18
12767 "Simmons, Justin" "DB" 140 0.3
12768 "Schobert, Joe" "LB" 128 0.26
12772 "Murray, Eric" "DB" 46 -0.03
12774 "Goodson, B.J." "LB" 79 -0.05
12779 "Campbell, De'Vondre" "LB" 108 0.16
12788 "Martinez, Blake" "LB" 176 0.64
12797 "Ioannidis, Matt" "DL" 75 0.13
12801 "Hill, Tyreek" "WR" 265.55 1.31
12805 "Brown, Jatavis" "LB" 110 0.17
12814 "Grant, Jakeem" "WR" 81.25 0.06
12831 "Roberts, Elandon" "LB" 81 -0.03
12841 "Weatherly, Stephen" "DL" 42 0.01
12850 "Fejedelem, Clayton" "DB" 19 -0.37
12857 "Washington, DeAndre" "RB" 9.7 -0.11
12860 "Fairbairn, Ka'imi" "PK" 68.6 0.06
12910 "Harris, Erik" "DB" 0 -0.11
12912 "Richard, Jalen" "RB" 109.75 0.15
12917 "Harris, Maurice" "WR" 12.9 -0.05
12930 "Anderson, Robby" "WR" 75 0.04
12934 "Rogers, Chester" "WR" 66.65 0
12938 "Poole, Brian" "DB" 70 -0.05
12940 "Brice, Kentrell" "DB" 46 -0.15
12948 "Okwara, Romeo" "LB" 31 -0.03
12956 "Lutz, Wil" "PK" 124.4 0.31
12985 "Littleton, Cory" "LB" 197 0.8
12987 "Hyder, Kerry" "DL" 6 -0.05
12990 "Farley, Matthias" "DB" 12 -0.08
13017 "Riley, Curtis" "DB" 38 0.01
13045 "Smith, Terrance" "LB" 21 -0.07
13113 "Watson, Deshaun" "QB" 227.78 0.31
13115 "Trubisky, Mitchell" "QB" 228.06 0.32
13116 "Mahomes, Patrick" "QB" 311.72 0.92
13125 "Beathard, C.J." "QB" 84.98 0
13128 "Cook, Dalvin" "RB" 63 0.05
13129 "Fournette, Leonard" "RB" 88.8 0.19
13130 "McCaffrey, Christian" "RB" 266.5 1.27
13131 "Mixon, Joe" "RB" 158.6 0.38
13132 "Kamara, Alvin" "RB" 276.75 1.35
13136 "Clement, Corey" "RB" 80.2 0.03
13138 "Hunt, Kareem" "RB" 230.2 1.02
13139 "Williams, Jamaal" "RB" 54.39 -0.23
13144 "McGuire, Elijah" "RB" 22 -0.01
13146 "Conner, James" "RB" 247.2 1.14
13153 "Davis, Corey" "WR" 141.4 0.42
13154 "Williams, Mike" "WR" 109.5 0.19
13155 "Ross, John" "WR" 61.3 0.01
13156 "Smith-Schuster, JuJu" "WR" 209.8 0.92
13157 "Samuel, Curtis" "WR" 86.67 0.11
13158 "Westbrook, Dede" "WR" 132.91 0.36
13163 "Godwin, Chris" "WR" 126.5 0.31
13164 "Kupp, Cooper" "WR" 135.3 0.3
13168 "Reynolds, Josh" "WR" 49.6 -0.21
13176 "Jones, Zay" "WR" 88.2 0.05
13188 "Howard, O.J." "TE" 120.5 0.32
13189 "Engram, Evan" "TE" 61.7 0.07
13192 "Njoku, David" "TE" 102.1 0.26
13193 "Smith, Jonnu" "TE" 58.9 -0.05
13198 "Garrett, Myles" "DL" 110 0.4
13200 "Charlton, Taco" "DL" 35 -0.02
13201 "Barnett, Derek" "DL" 37 0.03
13202 "Lawson, Carl" "DL" 14 -0.1
13205 "McKinley, Takkarist" "DL" 51 0.01
13208 "Allen, Jonathan" "DL" 84 0.21
13214 "Watt, T.J." "LB" 143 0.41
13215 "Foster, Reuben" "LB" 56 0.03
13216 "Cunningham, Zach" "LB" 129 0.26
13220 "Riley, Duke" "LB" 95 0.06
13221 "Davis, Jarrad" "LB" 144 0.41
13222 "McMillan, Raekwon" "LB" 120 0.24
13224 "Lattimore, Marshon" "DB" 95 -0.03
13226 "Jackson, Adoree" "DB" 114.3 0.11
13228 "Hooker, Malik" "DB" 67 -0.06
13229 "Jackson, Eddie" "DB" 59 0.06
13230 "Adams, Jamal" "DB" 174 0.54
13231 "Peppers, Jabrill" "DB" 114.34 0.11
13232 "King, Desmond" "DB" 113.89 0.11
13234 "Mack, Marlon" "RB" 109 0.17
13236 "Everett, Gerald" "TE" 59 -0.05
13245 "Reddick, Haason" "LB" 85 -0.01
13249 "White, Tre'Davious" "DB" 10 -0.06
13251 "Baker, Budda" "DB" 145 0.28
13252 "Maye, Marcus" "DB" 75 0.08
13253 "Williams, Marcus" "DB" 92 -0.05
13257 "Evans, Justin" "DB" 115 0.15
13264 "Jones, Josh" "DB" 36 -0.14
13265 "Ogunjobi, Larry" "DL" 53 0.04
13268 "Anzalone, Alex" "LB" 88 0.02
13273 "Griffin, Shaq" "DB" 80 -0.05
13274 "Johnson, John" "DB" 151 0.37
13277 "Golladay, Kenny" "WR" 164.2 0.59
13280 "Williams, Chad" "WR" 28.3 -0.11
13290 "Cohen, Tarik" "RB" 176.56 0.63
13292 "Nicholson, Montae" "DB" 66 -0.24
13299 "Kittle, George" "TE" 159.3 0.67
13301 "Kazee, Damontae" "DB" 131 0.22
13303 "Elliott, Jake" "PK" 76.5 -0.03
13304 "Brown, Jayon" "LB" 133 0.33
13306 "Walker, Anthony" "LB" 132 0.28
13307 "Milano, Matt" "LB" 145 0.42
13310 "Lee, Marquel" "LB" 75 -0.07
13319 "Jones, Aaron" "RB" 136.8 0.28
13327 "Evans, Jordan" "LB" 28 0.02
13329 "Vallejo, Tanner" "LB" 10 -0.04
13348 "Moore, David" "WR" 88.44 0.07
13351 "Colbert, Adrian" "DB" 20 -0.04
13354 "Butker, Harrison" "PK" 101.65 0.15
