"player_id" "player_name" "pos" "points" "war"
14085 "Pollard, Tony" "RB" 65.11 -0.09
14087 "Henderson, Darrell" "RB" 20 -0.18
14095 "Johnson, Ty" "RB" 41.54 -0.25
14101 "Harry, N'Keal" "WR" 12.8 -0.02
14102 "Metcalf, DK" "WR" 132.1 0.31
14104 "Brown, A.J." "WR" 112.9 0.18
14105 "Brown, Marquise" "WR" 122.9 0.22
14107 "Arcega-Whiteside, JJ" "WR" 13.6 -0.49
14109 "McLaurin, Terry" "WR" 133.8 0.28
14112 "Campbell, Parris" "WR" 40.15 -0.03
14113 "Hardman, Mecole" "WR" 115.12 0.2
14121 "Isabella, Andy" "WR" 35.75 -0.21
14122 "Slayton, Darius" "WR" 112.77 0.18
14123 "Renfrow, Hunter" "WR" 87.6 0
14124 "Johnson, KeeSean" "WR" 47 -0.16
14126 "Williams, Preston" "WR" 97.55 0.13
14127 "Meyers, Jakobi" "WR" 44.3 -0.17
14136 "Samuel, Deebo" "WR" 115 0.18
14137 "Fant, Noah" "TE" 72.8 0.04
14138 "Hockenson, T.J." "TE" 72.9 0.01
14147 "Bosa, Nick" "DL" 105 0.22
14148 "Sweat, Montez" "LB" 76 -0.08
14151 "Ferrell, Clelin" "DL" 66 0
14153 "Allen, Zach" "DL" 14 -0.05
14155 "Collier, L.J." "DL" 4 -0.16
14157 "Williams, Quinnen" "DL" 42 -0.08
14158 "Oliver, Ed" "DL" 51 -0.16
14163 "Simmons, Jeffery" "DL" 17 -0.04
14167 "Allen, Josh" "DL" 87 0.1
14168 "White, Devin" "LB" 119 0.21
14169 "Wilson, Mack" "LB" 51 -0.02
14170 "Bush, Devin" "LB" 169 0.57
14171 "Burns, Brian" "DL" 64 -0.07
14176 "Winovich, Chase" "DL" 46 -0.19
14180 "Murphy, Byron" "DB" 51 0.02
14184 "Abram, Johnathan" "DB" 8 -0.01
14186 "Rapp, Taylor" "DB" 124 0.18
14197 "Savage, Darnell" "DB" 85 0.02
14198 "Ya-Sin, Rock" "DB" 85 -0.03
14200 "Tavai, Jahlani" "LB" 76 -0.08
14202 "Blair, Marquise" "DB" 45 -0.15
14207 "Thornhill, Juan" "DB" 83 -0.11
14208 "Johnson, Diontae" "WR" 96.9 0.07
14209 "Oliver, Josh" "TE" 4.5 -0.09
14210 "Pratt, Germaine" "LB" 54 -0.23
14218 "Okereke, Bobby" "LB" 72 -0.11
14221 "Williams, Quincy" "LB" 64 -0.03
14225 "Crosby, Maxx" "DL" 77 0.11
14226 "Willis, Khari" "DB" 36 0
14235 "Tranquill, Drue" "LB" 58 -0.11
14241 "Burr-Kirven, Ben" "LB" 3 -0.55
14242 "Connelly, Ryan" "LB" 46 0.06
14244 "Gay, Matt" "PK" 59.4 0.07
14247 "Greenlaw, Dre" "LB" 49 0.13
14251 "Cashman, Blake" "LB" 74 0.07
14260 "Holcomb, Cole" "LB" 132 0.31
14284 "Thompson, Darwin" "RB" 5.61 -0.15
14305 "Johnson, Olabisi" "WR" 34.4 -0.02
14401 "Eguavoen, Sam" "LB" 54 -0.23
14600 "Slye, Joey" "PK" 65.9 0.06
14612 "Laird, Patrick" "RB" 2 -0.06
14618 "Hodges, Devlin" "QB" 9.08 -0.09
14672 "Reeder, Troy" "LB" 28 -0.02
14702 "Teamer, Roderic" "DB" 69 0.06
14717 "McLaughlin, Chase" "PK" 9.9 0.05
