"player_id" "player_name" "pos" "points" "war"
11017 "McLeod, Rodney" "DB" 48 0.01
11045 "Harrison, Damon" "DL" 68 -0.04
11186 "Thompson, Chris" "RB" 62.5 0.07
11192 "Bell, Le'Veon" "RB" 168.5 0.63
11193 "Bernard, Giovani" "RB" 51.42 -0.18
11222 "Allen, Keenan" "WR" 175.7 0.62
11225 "Patterson, Cordarrelle" "WR" 44.33 -0.29
11227 "Stills, Kenny" "WR" 73 0.01
11228 "Woods, Robert" "WR" 130.4 0.26
11232 "Hopkins, DeAndre" "WR" 202.5 0.81
11239 "Goodwin, Marquise" "WR" 38.1 -0.09
11244 "Kelce, Travis" "TE" 170.3 0.7
11247 "Ertz, Zach" "TE" 157.2 0.61
11250 "Eifert, Tyler" "TE" 65 -0.04
11257 "McDonald, Vance" "TE" 69.3 0.02
11262 "Okafor, Alex" "DL" 47 0
11267 "Ansah, Ezekiel" "DL" 46 -0.03
11293 "Ogletree, Alec" "LB" 104 0.14
11299 "Bostic, Jon" "LB" 129 0.29
11308 "Alonso, Kiko" "LB" 52 -0.24
11310 "Minter, Kevin" "LB" 41 0
11313 "Mathieu, Tyrann" "DB" 112 0.09
11316 "Ryan, Logan" "DB" 164 0.38
11317 "Poyer, Jordan" "DB" 143 0.31
11323 "Reid, Eric" "DB" 182 0.59
11324 "Vaccaro, Kenny" "DB" 101 0.01
11330 "Williams, Shawn" "DB" 152 0.37
11337 "Fells, Darren" "TE" 54.7 0.06
11349 "Collins, Jamie" "LB" 165 0.54
11350 "Swearinger, D.J." "DB" 67 0.05
11375 "Klein, A.J." "LB" 96 0.06
11382 "Hyde, Micah" "DB" 96.15 -0.02
11387 "Hopkins, Dustin" "PK" 43.85 -0.04
11390 "Murray, Latavius" "RB" 125.7 0.33
11399 "Griffin, Ryan" "TE" 44 0.08
11403 "Williams, Vince" "LB" 60 -0.05
11412 "Williams, Nick" "DL" 19 0.04
11422 "Ishmael, Kemal" "LB" 43 0.01
11454 "Anderson, C.J." "RB" 4.3 -0.07
11491 "Mayowa, Benson" "DL" 42 -0.08
11516 "Doyle, Jack" "TE" 78.4 0.05
11517 "McDougald, Bradley" "DB" 97 0.03
11529 "Hill, Josh" "TE" 6.9 0.01
11543 "Heath, Jeff" "DB" 23 -0.02
11644 "Carr, Derek" "QB" 166.14 -0.07
11657 "Hyde, Carlos" "RB" 113.8 0.24
11660 "Freeman, Devonta" "RB" 119.3 0.23
11670 "Watkins, Sammy" "WR" 114 0.18
11671 "Evans, Mike" "WR" 210.3 0.87
11674 "Cooks, Brandin" "WR" 83.6 0.05
11675 "Adams, Davante" "WR" 112 0.21
11677 "Moncrief, Donte" "WR" 5.8 -0.17
11678 "Robinson, Allen" "WR" 163.4 0.54
11679 "Beckham, Odell" "WR" 144.1 0.4
11680 "Landry, Jarvis" "WR" 176.95 0.63
11681 "Richardson, Paul" "WR" 64.5 -0.07
11695 "Ebron, Eric" "TE" 86.5 0.11
11705 "Burton, Trey" "TE" 22.4 -0.11
11706 "Clowney, Jadeveon" "DL" 90 0.12
11707 "Tuitt, Stephon" "DL" 54 0.05
11711 "Ford, Dee" "DL" 58 -0.05
11720 "Barr, Anthony" "LB" 117 0.19
11721 "Mack, Khalil" "LB" 121 0.23
11723 "Van Noy, Kyle" "LB" 113 0.17
11724 "Jones, Christian" "LB" 88 0
11728 "Mosley, C.J." "LB" 30 0.1
11740 "Clinton-Dix, Ha Ha" "DB" 134 0.25
11742 "Joyner, Lamarcus" "DB" 75 -0.03
11747 "White, James" "RB" 117.9 0.24
11757 "Donald, Aaron" "DL" 105 0.22
11760 "Garoppolo, Jimmy" "QB" 189.34 0.09
11764 "Fuller, Kyle" "DB" 134 0.25
11769 "Lawrence, Demarcus" "DL" 89 0.11
11772 "Kirksey, Christian" "LB" 17 0.01
11775 "Brown, Preston" "LB" 84 0.05
11783 "Brown, John" "WR" 174 0.61
11795 "Hitchens, Anthony" "LB" 110 0.15
11802 "Boston, Tre" "DB" 109 0.07
11814 "Allen, Ricardo" "DB" 118 0.13
11830 "Kennard, Devon" "LB" 109 0.15
11872 "Harris, Shelby" "DL" 34 0.07
11886 "Williams, Damien" "RB" 92.5 0.12
11890 "Wilson, Albert" "WR" 38.2 -0.09
11936 "Boswell, Chris" "PK" 91.45 0.19
11938 "Thielen, Adam" "WR" 108.2 0.17
11947 "McManus, Brandon" "PK" 40.35 0.02
11951 "Snead, Willie" "WR" 74.9 -0.08
11965 "Butler, Malcolm" "DB" 89 0.03
11975 "Gabriel, Taylor" "WR" 90.3 0.08
12075 "Barrett, Shaq" "LB" 104 0.14
12083 "Autry, Denico" "DL" 47 -0.1
12087 "Davis, Todd" "LB" 129 0.24
12088 "Phillips, Adrian" "DB" 21 0.02
12110 "Brate, Cameron" "TE" 59.4 -0.08
12140 "Winston, Jameis" "QB" 225.64 0.35
12150 "Gurley, Todd" "RB" 133.1 0.31
12151 "Gordon, Melvin" "RB" 95.1 0.16
12152 "Coleman, Tevin" "RB" 122.2 0.25
12153 "Yeldon, T.J." "RB" 23.5 -0.05
12154 "Ajayi, Jay" "RB" 1.6 -0.07
12157 "Johnson, Duke" "RB" 101.9 0.16
12171 "Johnson, David" "RB" 122.5 0.25
12175 "Cooper, Amari" "WR" 186.6 0.7
12176 "Parker, DeVante" "WR" 139.5 0.37
12181 "Agholor, Nelson" "WR" 86.25 0.04
12182 "Smith, Devin" "WR" 5.9 -0.07
12184 "Crowder, Jamison" "WR" 131.4 0.31
12186 "Diggs, Stefon" "WR" 164 0.54
12187 "Lockett, Tyler" "WR" 192.22 0.74
12188 "Dorsett, Phillip" "WR" 91.3 0.09
12217 "Fowler, Dante" "LB" 33 0
12218 "Armstead, Arik" "DL" 98 0.16
12221 "Hunter, Danielle" "DL" 121 0.34
12222 "Flowers, Trey" "DL" 85 0.1
12225 "Williams, Leonard" "DL" 39 -0.14
12230 "Beasley, Vic" "DL" 64 -0.07
12231 "Thompson, Shaq" "LB" 161 0.51
12233 "Alexander, Kwon" "LB" 73 0.03
12234 "Dupree, Bud" "LB" 125 0.26
12238 "Perryman, Denzel" "LB" 82 0.01
12239 "Kendricks, Eric" "LB" 170 0.58
12241 "Johnson, A.J." "LB" 97 0.18
12245 "Peters, Marcus" "DB" 20 0.14
12250 "Collins, Landon" "DB" 169 0.5
12252 "Harris, Anthony" "DB" 103 0.07
12257 "Conley, Chris" "WR" 103.8 0.12
12261 "Montgomery, Ty" "RB" 21.71 -0.38
12263 "Waller, Darren" "TE" 148.2 0.55
12269 "Randall, Damarious" "DB" 77 0.05
12270 "Smith, Preston" "LB" 113 0.17
12272 "McKinney, Benardrick" "LB" 139 0.36
12274 "Tartt, Jaquiski" "DB" 84 -0.11
12278 "Golden, Markus" "LB" 21 0.03
12280 "Clark, Frank" "DL" 86 0.11
12287 "Hicks, Jordan" "LB" 213 0.88
12295 "Geathers, Clayton" "DB" 68 -0.11
12301 "Smith, Za'Darius" "LB" 18 0.01
12302 "Wilson, Damien" "LB" 106 0.13
12305 "Jarrett, Grady" "DL" 101 0.2
12308 "Amos, Adrian" "DB" 115 0.11
12317 "Uzomah, C.J." "TE" 22.7 -0.34
12326 "Mayo, David" "LB" 75 0.07
12328 "Boyle, Nick" "TE" 39.9 -0.05
