"player_id" "player_name" "pos" "points" "war"
10122 "Stewart, Darian" "DB" 88 -0.09
10220 "Sendejo, Andrew" "DB" 67 0.05
10224 "Rey, Vincent" "LB" 87 0.03
10261 "Green, A.J." "WR" 168.9 0.69
10263 "Clayborn, Adrian" "DL" 29 -0.03
10265 "Dareus, Marcell" "DL" 31 -0.12
10266 "Heyward, Cameron" "DL" 105 0.27
10267 "Miller, Von" "LB" 119 0.22
10271 "Jones, Julio" "WR" 189.4 0.84
10272 "Watt, J.J." "DL" 30 -0.01
10273 "Newton, Cam" "QB" 218.4 0.4
10275 "Bailey, Allen" "DL" 40 -0.07
10276 "Ingram, Mark" "RB" 186.5 0.85
10277 "Houston, Justin" "LB" 137 0.35
10280 "Kerrigan, Ryan" "LB" 89 0.04
10289 "Smith, Torrey" "WR" 62.05 -0.1
10292 "Jordan, Cameron" "DL" 147 0.58
10300 "Rodgers, Jacquizz" "RB" 42.98 -0.21
10302 "Murray, DeMarco" "RB" 133.7 0.45
10303 "Vereen, Shane" "RB" 68.16 -0.03
10308 "Cobb, Randall" "WR" 103.2 0.18
10312 "Rudolph, Kyle" "TE" 118.9 0.38
10313 "Dalton, Andy" "QB" 163.18 -0.01
10314 "Wilkerson, Muhammad" "DL" 74 0.04
10315 "Reed, Brooks" "DL" 59 -0.07
10318 "Kendricks, Lance" "TE" 25.6 -0.07
10335 "Casey, Jurrell" "DL" 76 0.05
10339 "Foster, Mason" "LB" 63 0.09
10344 "Conte, Chris" "DB" 108 0.06
10350 "Wright, K.J." "LB" 144 0.4
10369 "Powell, Bilal" "RB" 92.2 0.14
10372 "Thomas, Julius" "TE" 80.2 0.09
10389 "Lewis, Dion" "RB" 115.62 0.32
10392 "Kerley, Jeremy" "WR" 51.95 -0.01
10393 "Sherman, Richard" "DB" 82 0
10408 "Maxwell, Byron" "DB" 19 0.01
10409 "Clay, Charles" "TE" 76.8 0.11
10413 "Taylor, Tyrod" "QB" 172.2 0.06
10432 "Green, Virgil" "TE" 18.4 -0.16
10487 "Forbath, Kai" "PK" 37.85 0.02
10500 "Pryor, Terrelle" "WR" 50 -0.05
10506 "Bailey, Dan" "PK" 44 -0.02
10527 "Baldwin, Doug" "WR" 153 0.57
10554 "Addison, Mario" "DL" 83 0.1
10592 "Harris, Chris" "DB" 4 -0.07
10610 "Parker, Ron" "DB" 107 0.06
10700 "Cousins, Kirk" "QB" 220.02 0.41
10703 "Wilson, Russell" "QB" 265.26 0.75
10708 "Miller, Lamar" "RB" 155.6 0.62
10709 "Martin, Doug" "RB" 64.6 0.05
10720 "Wright, Kendall" "WR" 71.5 -0.03
10722 "Jeffery, Alshon" "WR" 152.9 0.57
10723 "Sanu, Mohamed" "WR" 120.94 0.28
10729 "Hilton, T.Y." "WR" 129 0.39
10737 "Benjamin, Travis" "WR" 99.5 0.17
10738 "Jones, Marvin" "WR" 165.1 0.66
10742 "Allen, Dwayne" "TE" 13.7 -0.39
10743 "Fleener, Coby" "TE" 63.5 -0.03
10749 "Ingram, Melvin" "DL" 117 0.36
10750 "Perry, Nick" "LB" 86 0.03
10752 "Branch, Andre" "DL" 43 -0.11
10753 "Jones, Chandler" "LB" 129 0.29
10754 "Mercilus, Whitney" "LB" 26 -0.06
10762 "Cox, Fletcher" "DL" 63 0.03
10763 "Brockers, Michael" "DL" 52 0.03
10768 "David, Lavonte" "LB" 147 0.33
10769 "Robinson, Keenan" "LB" 56 0.03
10770 "Brown, Zach" "LB" 197 0.8
10772 "Burfict, Vontaze" "LB" 119 0.22
10773 "Kuechly, Luke" "LB" 159 0.42
10774 "Hightower, Dont'a" "LB" 34 -0.03
10775 "Wagner, Bobby" "LB" 213 0.92
10779 "Jenkins, Janoris" "DB" 103 0.1
10782 "Barron, Mark" "LB" 163 0.54
10783 "Smith, Harrison" "DB" 139 0.29
10784 "Iloka, George" "DB" 102 0.02
10789 "Gilmore, Stephon" "DB" 72 0
10793 "Hayward, Casey" "DB" 105 0.04
10806 "Wolfe, Derek" "DL" 57 -0.09
10807 "Kendricks, Mychal" "LB" 105 0.13
10808 "Wilson, Tavon" "DB" 116 0.14
10810 "Johnson, Trumaine" "DB" 130.3 0.23
10815 "Vernon, Olivier" "DL" 61 0.07
10816 "Davis, Demario" "LB" 186 0.72
10823 "Hicks, Akiem" "DL" 104 0.26
10827 "Bradham, Nigel" "LB" 116 0.2
10841 "Daniels, Mike" "DL" 74 0.08
10846 "Jackson, Malik" "DL" 78 0.07
10847 "Whitehead, Tahir" "LB" 151 0.45
10850 "Marshall, Brandon" "LB" 148 0.43
10851 "Norman, Josh" "DB" 92 0.05
10857 "Toomer, Korey" "LB" 80 -0.01
10862 "Bullock, Randy" "PK" 4.9 -0.05
10868 "Zuerlein, Greg" "PK" 137.95 0.3
10870 "Morris, Alfred" "RB" 33.8 -0.11
10871 "Tandy, Keith" "DB" 10 -0.32
10872 "Walsh, Blair" "PK" 82.95 -0.07
10874 "Bethel, Justin" "DB" 31 -0.23
10879 "Trevathan, Danny" "LB" 109 0.2
10903 "Matthews, Rishard" "WR" 121.3 0.28
10948 "Keenum, Case" "QB" 122.34 0.07
10956 "Thompson, Deonte" "WR" 83.37 0.05
10976 "Tucker, Justin" "PK" 107.6 0.11
10982 "Freeman, Jerrell" "LB" 17 0.12
10983 "Hogan, Chris" "WR" 108.5 0.22
11010 "Gipson, Tashaun" "DB" 44 -0.04
11012 "Robertson, Craig" "LB" 89 0
11017 "McLeod, Rodney" "DB" 67 -0.24
11045 "Harrison, Damon" "DL" 102 0.25
11076 "Kearse, Jermaine" "WR" 124 0.35
11175 "Ellington, Andre" "RB" 74 0.09
11180 "Gillislee, Mike" "RB" 58.5 0.02
11182 "Burkhead, Rex" "RB" 79.5 0.13
11185 "Williams, Kerwynn" "RB" 31.75 -0.18
11186 "Thompson, Chris" "RB" 158.35 0.5
11188 "Riddick, Theo" "RB" 91.3 0.14
11192 "Bell, Le'Veon" "RB" 226.7 1.14
11193 "Bernard, Giovani" "RB" 65.21 -0.05
11201 "Lacy, Eddie" "RB" 28.3 -0.09
11211 "Williams, Terrance" "WR" 85.1 0.07
11213 "Austin, Tavon" "WR" 39.04 -0.26
11222 "Allen, Keenan" "WR" 184.6 0.8
11227 "Stills, Kenny" "WR" 136.5 0.45
11228 "Woods, Robert" "WR" 141.5 0.39
11232 "Hopkins, DeAndre" "WR" 223.4 1.09
11244 "Kelce, Travis" "TE" 169.4 0.76
11247 "Ertz, Zach" "TE" 159.9 0.54
11248 "Reed, Jordan" "TE" 60.1 0.09
11250 "Eifert, Tyler" "TE" 8.6 -0.03
11262 "Okafor, Alex" "DL" 70 0.1
11265 "Gholston, William" "DL" 42 -0.07
11267 "Ansah, Ezekiel" "DL" 64 0.03
11273 "Simon, John" "LB" 88 0.09
11283 "Richardson, Sheldon" "DL" 63 0
11292 "Te'o, Manti" "LB" 58 -0.22
11293 "Ogletree, Alec" "LB" 156 0.49
11299 "Bostic, Jon" "LB" 144 0.4
11308 "Alonso, Kiko" "LB" 143 0.4
11310 "Minter, Kevin" "LB" 38 -0.07
11313 "Mathieu, Tyrann" "DB" 126 0.2
11314 "Rhodes, Xavier" "DB" 83 -0.12
