"player_id" "player_name" "pos" "points" "war"
13158 "Westbrook, Dede" "WR" 16.6 0.02
13164 "Kupp, Cooper" "WR" 122.7 0.34
13167 "Taylor, Taywan" "WR" 44.6 -0.22
13176 "Jones, Zay" "WR" 61.9 -0.04
13188 "Howard, O.J." "TE" 76.1 0.06
13189 "Engram, Evan" "TE" 121 0.4
13192 "Njoku, David" "TE" 67.9 0
13193 "Smith, Jonnu" "TE" 37.7 -0.22
13198 "Garrett, Myles" "DL" 51 0.05
13199 "Thomas, Solomon" "DL" 60 0.02
13201 "Barnett, Derek" "DL" 58 -0.08
13208 "Allen, Jonathan" "DL" 17 -0.06
13214 "Watt, T.J." "LB" 100 0.1
13215 "Foster, Reuben" "LB" 70 0.12
13216 "Cunningham, Zach" "LB" 71 -0.13
13217 "Beckwith, Kendell" "LB" 109 0.14
13221 "Davis, Jarrad" "LB" 108 0.16
13224 "Lattimore, Marshon" "DB" 102 0.09
13226 "Jackson, Adoree" "DB" 135.19 0.24
13228 "Hooker, Malik" "DB" 56 -0.03
13229 "Jackson, Eddie" "DB" 21 -0.07
13230 "Adams, Jamal" "DB" 112 0.09
13231 "Peppers, Jabrill" "DB" 83.03 0.01
13234 "Mack, Marlon" "RB" 70.95 0.05
13245 "Reddick, Haason" "LB" 54 -0.25
13249 "White, Tre'Davious" "DB" 78 0.02
13251 "Baker, Budda" "DB" 71 -0.21
13252 "Maye, Marcus" "DB" 111 0.09
13257 "Evans, Justin" "DB" 109 0.07
13264 "Jones, Josh" "DB" 102 0.02
13268 "Anzalone, Alex" "LB" 33 0
13273 "Griffin, Shaq" "DB" 62 -0.09
13277 "Golladay, Kenny" "WR" 52.9 0.04
13290 "Cohen, Tarik" "RB" 128.88 0.42
13299 "Kittle, George" "TE" 63.1 0.01
13303 "Elliott, Jake" "PK" 61 0.01
13307 "Milano, Matt" "LB" 41 -0.06
13316 "Taylor, Trent" "WR" 64.15 -0.03
13319 "Jones, Aaron" "RB" 64.6 0.05
13325 "Woods, Xavier" "DB" 59 -0.3
13354 "Butker, Harrison" "PK" 100.7 0.14
13357 "Mays, Devante" "RB" -1.1 -0.1
13364 "Carson, Chris" "RB" 39.7 0.06
13404 "Ekeler, Austin" "RB" 77.98 0.12
13412 "Cole, Keelan" "WR" 33 -0.06
13435 "Coley, Trevon" "DL" 1 -0.07
