season,player_id,player_name,pos,points,war
2020,14168,"White, Devin",LB,209,2.6
2020,13132,"Kamara, Alvin",RB,264.42,2.42
2020,10768,"David, Lavonte",LB,186,1.96
2020,12626,"Henry, Derrick",RB,221,1.78
2020,12801,"Hill, Tyreek",WR,260.1,1.78
2020,13128,"Cook, Dalvin",RB,254.5,1.76
2020,14813,"Robinson, James",RB,202,1.52
2020,12164,"Davis, Mike",RB,164.3,1.5
2020,11244,"Kelce, Travis",TE,212.96,1.48
2020,12239,"Kendricks, Eric",LB,200,1.42
2020,13606,"Jones, Ronald",RB,159.1,1.36
2020,13216,"Cunningham, Zach",LB,193,1.32
2020,13696,"Smith, Roquan",LB,192,1.3
2020,14056,"Murray, Kyler",QB,302.56,1.24
2020,14852,"Gibson, Antonio",RB,183.8,1.24
2020,9833,"Pierre-Paul, Jason",DL,140,1.22
2020,12788,"Martinez, Blake",LB,185,1.2
2020,10775,"Wagner, Bobby",LB,183,1.16
2020,12231,"Thompson, Shaq",LB,156,1.16
2020,11222,"Allen, Keenan",WR,214.5,1.12
2020,13116,"Mahomes, Patrick",QB,294.38,1.12
2020,14102,"Metcalf, DK",WR,214.9,1.12
2020,12625,"Elliott, Ezekiel",RB,174.3,1.1
2020,14073,"Jacobs, Josh",RB,174.7,1.1
2020,11675,"Adams, Davante",WR,229.8,1.04
2020,12701,"Smith, Jaylon",LB,172,1
2020,10703,"Wilson, Russell",QB,285.54,0.98
2020,11317,"Poyer, Jordan",DB,183,0.96
2020,12186,"Diggs, Stefon",WR,198.5,0.88
2020,11232,"Hopkins, DeAndre",WR,196.7,0.86
2020,12241,"Johnson, Alexander",LB,162,0.86
2020,12187,"Lockett, Tyler",WR,195.37,0.84
2020,12481,"Hewitt, Neville",LB,160,0.84
2020,12768,"Schobert, Joe",LB,161,0.84
2020,13447,"Wilson, Eric",LB,161,0.84
2020,11349,"Collins, Jamie",LB,159,0.82
2020,13138,"Hunt, Kareem",RB,155.7,0.82
