season,player_id,player_name,pos,points,war
2016,10302,"Murray, DeMarco",RB,249.6,4.06
2016,12171,"Johnson, David",RB,285.4,2.86
2016,12625,"Elliott, Ezekiel",RB,245.2,2.28
2016,12151,"Gordon, Melvin",RB,228.3,2.02
2016,11772,"Kirksey, Christian",LB,191,1.96
2016,9988,"Brown, Antonio",WR,248.05,1.56
2016,11671,"Evans, Mike",WR,237,1.4
2016,10775,"Wagner, Bobby",LB,201,1.38
2016,11293,"Ogletree, Alec",LB,200,1.36
2016,12250,"Collins, Landon",DB,217,1.36
2016,11668,"Crowell, Isaiah",RB,150.9,1.32
2016,12233,"Alexander, Kwon",LB,196,1.3
2016,10770,"Brown, Zach",LB,195,1.28
2016,11660,"Freeman, Devonta",RB,174.8,1.22
2016,10782,"Barron, Mark",LB,188,1.18
2016,9448,"McCoy, LeSean",RB,189.4,1.14
2016,9122,"Forte, Matt",RB,169.1,1.12
2016,10276,"Ingram, Mark",RB,168.9,1.12
2016,10847,"Whitehead, Tahir",LB,185,1.12
2016,9898,"Blount, LeGarrette",RB,167,1.1
2016,10773,"Kuechly, Luke",LB,200,1.1
2016,12272,"McKinney, Benardrick",LB,183,1.1
2016,11816,"Williamson, Avery",LB,160,1.08
2016,11192,"Bell, Le'Veon",RB,196.6,1.06
2016,11308,"Alonso, Kiko",LB,180,1.06
2016,11984,"Orr, Zachary",LB,181,1.06
2016,11721,"Mack, Khalil",DL,154,1.02
2016,10271,"Jones, Julio",WR,209,0.98
2016,7836,"Rodgers, Aaron",QB,269.46,0.96
2016,7877,"Gore, Frank",RB,158.4,0.96
2016,9866,"Lee, Sean",LB,173,0.94
2016,11813,"Smith, Telvin",LB,173,0.94
2016,4925,"Brees, Drew",QB,266.38,0.92
2016,8669,"Posluszny, Paul",LB,171,0.92
2016,9833,"Pierre-Paul, Jason",DL,148,0.92
2016,11679,"Beckham, Odell",WR,205.25,0.92
2016,10350,"Wright, K.J.",LB,169,0.88
2016,10708,"Miller, Lamar",RB,153.2,0.88
2016,7826,"Davis, Thomas",LB,164,0.8
2016,10976,"Tucker, Justin",PK,129.4,0.78
2016,7827,"Johnson, Derrick",LB,160,0.74
2016,11632,"Compton, Will",LB,160,0.74
2016,12141,"Mariota, Marcus",QB,250.92000000000002,0.74
2016,10982,"Freeman, Jerrell",LB,166,0.72
2016,12154,"Ajayi, Jay",RB,150.4,0.72
2016,10500,"Pryor, Terrelle",WR,183.24,0.7
2016,12150,"Gurley, Todd",RB,141.2,0.7
2016,9118,"Nelson, Jordy",WR,189.4,0.68
2016,11199,"Ware, Spencer",RB,146.7,0.68
2016,11349,"Collins, Jamie",LB,155,0.68
2016,7393,"Fitzgerald, Larry",WR,188.70000000000002,0.66
2016,9099,"Ryan, Matt",QB,249.04000000000002,0.66
2016,11188,"Riddick, Theo",RB,149.1,0.66
2016,11390,"Murray, Latavius",RB,147.6,0.64
2016,8684,"Timmons, Lawrence",LB,151,0.62
2016,8687,"Olsen, Greg",TE,157,0.62
