season,franchise_id,franchise_name,franchise_abbrev,franchise_logo,franchise_icon,division_id,division_name,conference_id,conference_name
2019,0001,Galway Buccaneers,Bucs,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_logo0001.jpg,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_icon0001.jpg,04,Barry Sanders Division,01,BFC
2019,0002,K-Town Rocketeers,R-KT,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_logo0002.jpg,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_icon0002.png,04,Barry Sanders Division,01,BFC
2019,0003,CTU Los Angeles,CTU,https://www46.myfantasyleague.com/fflnetdynamic2017/63018_franchise_logo0003.png,https://www46.myfantasyleague.com/fflnetdynamic2017/63018_franchise_icon0003.png,00,Brett Favre Division,01,BFC
2019,0004,Cleve Crusader,CLE,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_logo0004.gif,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_icon0004.png,01,Buddy Ryan Division,00,RFC
2019,0005,G-Town Pandas,NA,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_logo0005.jpg,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_icon0005.jpg,04,Barry Sanders Division,01,BFC
2019,0006,Dexter Wolves,NA,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_logo0006.png,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_icon0006.jpg,02,Reggie White Division,00,RFC
2019,0007,Jena Dragons,JEN,https://www46.myfantasyleague.com/fflnetdynamic2017/63018_franchise_logo0007.png,https://www46.myfantasyleague.com/fflnetdynamic2017/63018_franchise_icon0007.png,00,Brett Favre Division,01,BFC
2019,0008,Dortmund Packers,DOP,https://www48.myfantasyleague.com/fflnetdynamic2018/63018_franchise_logo0008.jpg,https://www48.myfantasyleague.com/fflnetdynamic2018/63018_franchise_icon0008.jpg,00,Brett Favre Division,01,BFC
2019,0009,Syke Steelers,Syke,https://www46.myfantasyleague.com/fflnetdynamic2017/63018_franchise_logo0009.jpg,https://www46.myfantasyleague.com/fflnetdynamic2017/63018_franchise_icon0009.jpg,00,Brett Favre Division,01,BFC
2019,0010,Güstrow Racoons,NA,https://www48.myfantasyleague.com/fflnet2016/newhelmets/nh-0004.png,https://www48.myfantasyleague.com/fflnetdynamic2019/63018_franchise_icon0010.jpg,03,Joe Namath Division,00,RFC
2019,0011,Hannover Bengals,NA,https://www48.myfantasyleague.com/fflnetdynamic2016/63018_franchise_logo0011.png,http://i.imgur.com/zBnku1l.png,00,Brett Favre Division,01,BFC
