"season","week","franchise_id","opponent_id"
"2016","07","0032","0031"
"2016","07","0021","0026"
"2016","07","0034","0001"
"2016","07","0019","0002"
"2016","07","0022","0018"
"2016","07","0024","0005"
"2016","07","0010","0033"
"2016","07","0023","0027"
"2016","08","0008","0015"
"2016","08","0012","0036"
"2016","08","0011","0026"
"2016","08","0009","0016"
"2016","08","0003","0006"
"2016","08","0007","0031"
"2016","08","0028","0033"
"2016","08","0004","0005"
"2016","08","0013","0002"
"2016","08","0025","0001"
"2016","08","0032","0027"
"2016","08","0021","0018"
"2016","08","0034","0017"
"2016","08","0019","0030"
"2016","08","0022","0035"
"2016","08","0024","0014"
"2016","08","0010","0029"
"2016","08","0023","0020"
"2016","08","0008","0001"
"2016","08","0012","0018"
"2016","08","0011","0033"
"2016","08","0009","0002"
"2016","08","0003","0027"
"2016","08","0007","0005"
"2016","08","0028","0022"
"2016","08","0004","0023"
"2016","08","0013","0024"
"2016","08","0025","0034"
"2016","08","0032","0019"
"2016","08","0021","0010"
"2016","08","0016","0014"
"2016","08","0006","0030"
"2016","08","0031","0029"
"2016","08","0015","0017"
"2016","08","0036","0035"
"2016","08","0026","0020"
"2016","09","0007","0003"
"2016","09","0009","0008"
"2016","09","0012","0011"
"2016","09","0025","0021"
"2016","09","0032","0028"
"2016","09","0013","0004"
"2016","09","0026","0016"
"2016","09","0036","0031"
"2016","09","0015","0006"
"2016","09","0019","0010"
"2016","09","0023","0022"
"2016","09","0034","0024"
"2016","09","0002","0001"
"2016","09","0018","0005"
"2016","09","0033","0027"
"2016","09","0017","0014"
"2016","09","0029","0020"
"2016","09","0035","0030"
"2016","09","0012","0026"
"2016","09","0011","0016"
"2016","09","0009","0036"
"2016","09","0003","0015"
"2016","09","0007","0006"
"2016","09","0008","0031"
"2016","09","0025","0002"
"2016","09","0021","0027"
"2016","09","0032","0001"
"2016","09","0004","0033"
"2016","09","0028","0018"
"2016","09","0013","0005"
"2016","09","0010","0017"
"2016","09","0034","0030"
"2016","09","0023","0014"
"2016","09","0024","0035"
"2016","09","0022","0029"
"2016","09","0019","0020"
"2016","10","0008","0007"
"2016","10","0012","0003"
"2016","10","0011","0009"
"2016","10","0028","0025"
"2016","10","0004","0032"
